Gene	log2FoldChange	MAG_protein	Sialic_hit	Identity	Query_cov	Subject_cov	Evalue	Bitscore	Condition	Bin	Taxonomy
SRR10507658|k141_11379_231	23.9973865194932	CDIpos_DASTool_bins_bin.2|k141_138055_38	nanK|nanK_717_bv	100.0	99.7	100.0	3.4e-158	559.7	CDIpos	bin.2	Escherichia coli
SRR10507666|k141_12471_60	23.9543301804984	CDIpos_DASTool_bins_bin.2|k141_138055_38	nanK|nanK_717_bv	100.0	99.7	100.0	3.4e-158	559.7	CDIpos	bin.2	Escherichia coli
SRR10507666|k141_51130_39	23.8606402316686	CDIpos_DASTool_bins_bin.2|k141_33883_86	ompF|ompF_6268_bv	65.9	99.7	100.0	3.8e-135	483.4	CDIpos	bin.2	Escherichia coli
SRR10507666|k141_12471_129	23.557294701612	CDIpos_DASTool_bins_bin.2|k141_137330_56	nagB|nagB_62438_bv	44.0	94.1	88.5	2.8e-49	197.6	CDIpos	bin.2	Escherichia coli
SRR10507666|k141_31756_50	24.1010338674683	CDIpos_DASTool_bins_bin.2|k141_126378_50	satB|MBM3693078.1	40.0	97.5	99.4	1.2e-55	219.2	CDIpos	bin.2	Escherichia coli
SRR10507658|k141_11379_162	23.5379394553429	CDIpos_DASTool_bins_bin.2|k141_137330_56	nagB|nagB_62438_bv	44.0	94.1	88.5	2.8e-49	197.6	CDIpos	bin.2	Escherichia coli
SRR10507658|k141_11379_235	23.6584585795057	CDIpos_DASTool_bins_bin.2|k141_138055_42	nanR|nanR_8_bv	100.0	99.6	100.0	4.1e-126	453.0	CDIpos	bin.2	Escherichia coli
SRR10507658|k141_11379_232	23.5428616495214	CDIpos_DASTool_bins_bin.2|k141_138055_39	nanE|nanE_8421_bv	100.0	99.6	87.7	8.8e-125	448.4	CDIpos	bin.2	Escherichia coli
SRR10507658|k141_14628_8	24.2105699723253	CDIpos_DASTool_bins_bin.2|k141_90233_8	satB|MFN4189717.1	43.8	95.0	96.4	1.8e-65	251.9	CDIpos	bin.2	Escherichia coli
SRR10507658|k141_15461_8	24.1889272383279	CDIpos_DASTool_bins_bin.2|k141_140806_6	satD|WP_249736668.1	40.2	89.2	82.5	2.5e-32	141.4	CDIpos	bin.2	Escherichia coli
SRR10507658|k141_29756_70	23.3479525800994	CDIpos_DASTool_bins_bin.2|k141_76266_10	satD|WP_121660542.1	40.2	89.5	81.1	4.6e-25	117.1	CDIpos	bin.2	Escherichia coli
SRR10507666|k141_64_87	23.1565709782081	CDIpos_DASTool_bins_bin.2|k141_58348_11	satD|HJG53471.1	40.5	79.5	71.2	7.3e-26	119.8	CDIpos	bin.2	Escherichia coli
SRR10507666|k141_64_542	23.9198733285706	CDIpos_DASTool_bins_bin.2|k141_40710_32	siaT|siaT_3434_uniprot	100.0	99.8	100.0	3.7e-209	729.6	CDIpos	bin.2	Escherichia coli
SRR10507660|k141_48859_76	23.7244245391581	diarrheaCDIneg_DASTool_bins_bin.5|k141_66635_7	nanU|nanU_44722_bv	99.4	97.2	100.0	3.9e-301	1035.4	diarrheaCDIneg	bin.5	Parabacteroides distasonis
SRR10507658|k141_2827_50	23.6807660553085	CDIpos_DASTool_bins_bin.2|k141_126378_50	satB|MBM3693078.1	40.0	97.5	99.4	1.2e-55	219.2	CDIpos	bin.2	Escherichia coli
SRR10507658|k141_11379_32	23.5427281011072	CDIpos_DASTool_bins_bin.2|k141_48864_19	siaQ|siaQ_3733_bv	100.0	99.4	100.0	9.6e-86	318.2	CDIpos	bin.2	Escherichia coli
SRR10507656|k141_91866_394	-23.4809897892895	control_DASTool_bins_bin.32|k141_241035_65	nanK|nanK_40_bv	59.1	99.4	99.4	1.4e-104	381.7	control	bin.32	Eubacterium_R sp000434995
SRR10507658|k141_11379_230	23.4672040448851	CDIpos_DASTool_bins_bin.2|k141_138055_37	nanQ|nanQ_4_bv	100.0	99.4	100.0	6.0e-85	315.5	CDIpos	bin.2	Escherichia coli
SRR10507653|k141_136459_20	-23.3514708887299	control_DASTool_bins_bin.32|k141_241035_65	nanK|nanK_40_bv	59.1	99.4	99.4	1.4e-104	381.7	control	bin.32	Eubacterium_R sp000434995
SRR10507656|k141_42415_145	-23.2145106299065	control_DASTool_bins_bin.32|k141_263878_144	nagB|nagB_40150_bv	100.0	99.6	100.0	2.3e-136	486.9	control	bin.32	Eubacterium_R sp000434995
SRR10507666|k141_64_543	23.1377714139708	CDIpos_DASTool_bins_bin.2|k141_40710_33	siaQ|siaQ_46_uniprot	46.3	96.8	91.2	5.5e-30	132.9	CDIpos	bin.2	Escherichia coli
SRR10507653|k141_131997_4	-23.032013108009	control_DASTool_bins_bin.32|k141_263878_144	nagB|nagB_40150_bv	100.0	99.6	100.0	2.3e-136	486.9	control	bin.32	Eubacterium_R sp000434995
SRR10507658|k141_15094_142	23.0039355804408	CDIpos_DASTool_bins_bin.2|k141_40710_33	siaQ|siaQ_46_uniprot	46.3	96.8	91.2	5.5e-30	132.9	CDIpos	bin.2	Escherichia coli
SRR10507662|k141_48623_95	20.7584071276816	CDIpos_DASTool_bins_bin.2|k141_127706_115	satD|WP_115412169.1	40.0	84.6	75.4	4.1e-32	140.6	CDIpos	bin.2	Escherichia coli
SRR10507662|k141_51282_25	19.095021229959	CDIpos_DASTool_bins_bin.71|k141_92792_5	nanQ|nanQ_634_uniprot	100.0	99.3	100.0	3.2e-83	309.7	CDIpos	bin.71	Parabacteroides distasonis
SRR10507661|k141_10280_52	15.6005085865617	diarrheaCDIneg_DASTool_bins_SemiBin_28|k141_47025_16	nanK|nanK_30939_bv	98.3	79.3	100.0	9.5e-132	471.9	diarrheaCDIneg	SemiBin_28	Enterococcus_B faecium
SRR10507663|k141_7482_2	15.2108821422538	diarrheaCDIneg_DASTool_bins_SemiBin_28|k141_47025_16	nanK|nanK_30939_bv	98.3	79.3	100.0	9.5e-132	471.9	diarrheaCDIneg	SemiBin_28	Enterococcus_B faecium
SRR10507663|k141_2018_67	14.0914066471021	diarrheaCDIneg_DASTool_bins_SemiBin_28|k141_1019_22	nanE|nanE_26011_bv	100.0	99.6	93.4	2.0e-121	437.2	diarrheaCDIneg	SemiBin_28	Enterococcus_B faecium
SRR10507666|k141_12471_58	11.3401966790187	CDIpos_DASTool_bins_bin.2|k141_138055_40	nanT|nanT_4300_bv	100.0	99.8	98.0	1.2e-283	977.2	CDIpos	bin.2	Escherichia coli
SRR10507660|k141_48658_43	10.3116228893371	CDIpos_DASTool_bins_bin.71|k141_136117_3	nanU|nanU_305779_bv	60.5	99.7	100.0	1.4e-214	748.0	CDIpos	bin.71	Parabacteroides distasonis
SRR10507660|k141_5820_26	10.1529886965589	CDIpos_DASTool_bins_bin.71|k141_78823_12	nanU|nanU_291680_bv	42.6	99.0	98.2	1.2e-115	419.1	CDIpos	bin.71	Parabacteroides distasonis
SRR10507658|k141_11379_233	10.2339806080701	CDIpos_DASTool_bins_bin.2|k141_138055_40	nanT|nanT_4300_bv	100.0	99.8	98.0	1.2e-283	977.2	CDIpos	bin.2	Escherichia coli
SRR10507666|k141_38918_21	10.1953231365197	CDIpos_DASTool_bins_bin.2|k141_41201_26	siaT|siaT_19174_uniprot	90.6	99.8	100.0	3.2e-205	716.5	CDIpos	bin.2	Escherichia coli
SRR10507658|k141_11379_33	11.06920177673	CDIpos_DASTool_bins_bin.2|k141_48864_20	siaM|siaM_2231_bv	100.0	99.8	100.0	4.0e-227	789.3	CDIpos	bin.2	Escherichia coli
SRR10507666|k141_12471_135	11.2144818753842	CDIpos_DASTool_bins_bin.2|k141_137330_50	nagA|nagA_31930_refseq	98.4	99.7	100.0	7.7e-211	734.9	CDIpos	bin.2	Escherichia coli
SRR10507658|k141_11379_156	11.1081408982977	CDIpos_DASTool_bins_bin.2|k141_137330_50	nagA|nagA_31930_refseq	98.4	99.7	100.0	7.7e-211	734.9	CDIpos	bin.2	Escherichia coli
SRR10507658|k141_12980_165	9.11129722054561	CDIpos_DASTool_bins_bin.2|k141_40098_12	satD|WP_419102340.1	46.1	79.7	90.7	1.4e-59	232.3	CDIpos	bin.2	Escherichia coli
SRR10507658|k141_31640_3	9.7724883581318	CDIpos_DASTool_bins_bin.2|k141_44186_3	satB|MFN4189717.1	40.8	98.8	99.3	5.0e-68	260.4	CDIpos	bin.2	Escherichia coli
SRR10507658|k141_3147_42	10.0457431239024	CDIpos_DASTool_bins_bin.2|k141_97161_3	siaM|siaM_3328_bv	100.0	99.8	100.0	1.8e-227	790.4	CDIpos	bin.2	Escherichia coli
SRR10507662|k141_49279_2	9.41247608584916	CDIpos_DASTool_bins_bin.71|k141_136117_3	nanU|nanU_305779_bv	60.5	99.7	100.0	1.4e-214	748.0	CDIpos	bin.71	Parabacteroides distasonis
SRR10507665|k141_23466_10	8.16076784629509	CDIpos_DASTool_bins_bin.71|k141_27995_10	SIAE|SIAE_9715_bv	100.0	99.8	100.0	6.8e-289	994.6	CDIpos	bin.71	Parabacteroides distasonis
SRR10507665|k141_15547_2	8.24574299367417	CDIpos_DASTool_bins_bin.3|k141_83501_2	nagA|nagA_15549_bv	100.0	99.7	100.0	4.1e-231	802.4	CDIpos	bin.3	Ruthenibacterium lactatiformans
SRR10507658|k141_29756_281	10.6173008722268	CDIpos_DASTool_bins_bin.2|k141_33883_86	ompF|ompF_6268_bv	65.9	99.7	100.0	3.8e-135	483.4	CDIpos	bin.2	Escherichia coli
SRR10507665|k141_98_48	8.83699813885115	CDIpos_DASTool_bins_SemiBin_130_sub|k141_71900_2	nanU|nanU_168364_bv	41.9	99.8	99.6	2.0e-111	405.2	CDIpos	SemiBin_130_sub	Alistipes onderdonkii
SRR10507665|k141_62550_4	7.79569004567329	CDIpos_DASTool_bins_bin.2|k141_138055_40	nanT|nanT_4300_bv	100.0	99.8	98.0	1.2e-283	977.2	CDIpos	bin.2	Escherichia coli
SRR10507658|k141_2827_47	10.5585717404946	CDIpos_DASTool_bins_bin.2|k141_126378_47	satD|WP_062009075.1	41.1	85.5	84.6	1.5e-43	178.7	CDIpos	bin.2	Escherichia coli
SRR10507666|k141_27510_3	9.24789432041988	CDIpos_DASTool_bins_bin.2|k141_44186_3	satB|MFN4189717.1	40.8	98.8	99.3	5.0e-68	260.4	CDIpos	bin.2	Escherichia coli
SRR10507658|k141_5080_15	8.93422454533825	CDIpos_DASTool_bins_SemiBin_48_sub|k141_40852_5	satD|WP_311358684.1	48.7	73.7	85.5	1.3e-57	225.7	CDIpos	SemiBin_48_sub	Enterocloster bolteae
SRR10507658|k141_4476_207	9.85971526018764	CDIpos_DASTool_bins_bin.2|k141_14827_2	nanK|nanK_707_uniprot	55.3	87.2	96.4	1.7e-107	391.7	CDIpos	bin.2	Escherichia coli
SRR10507662|k141_27771_46	9.71208972109692	CDIpos_DASTool_bins_bin.71|k141_77887_3	nanU|nanU_183841_bv	100.0	99.8	97.5	6.7e-295	1014.6	CDIpos	bin.71	Parabacteroides distasonis
SRR10507666|k141_18311_13	8.61898648445959	CDIpos_DASTool_bins_bin.2|k141_90233_23	ompF|ompF_42_uniprot	98.4	99.7	100.0	2.8e-210	733.0	CDIpos	bin.2	Escherichia coli
SRR10507660|k141_11875_163	8.71846007441562	CDIpos_DASTool_bins_bin.71|k141_49118_8	siaM|siaM_130527_bv	100.0	99.8	99.8	1.5e-218	760.8	CDIpos	bin.71	Parabacteroides distasonis
SRR10507665|k141_98_57	9.3286084891598	CDIpos_DASTool_bins_SemiBin_130_sub|k141_71900_11	nanU|nanU_459495_bv	45.4	99.8	100.0	6.4e-126	453.4	CDIpos	SemiBin_130_sub	Alistipes onderdonkii
SRR10507660|k141_39434_1	8.3882181318741	CDIpos_DASTool_bins_bin.3|k141_83501_2	nagA|nagA_15549_bv	100.0	99.7	100.0	4.1e-231	802.4	CDIpos	bin.3	Ruthenibacterium lactatiformans
SRR10507665|k141_9642_16	7.79810900429339	CDIpos_DASTool_bins_bin.71|k141_41686_4	nanU|nanU_79795_bv	60.7	99.6	99.4	1.8e-181	637.9	CDIpos	bin.71	Parabacteroides distasonis
SRR10507658|k141_14628_23	8.38381893401927	CDIpos_DASTool_bins_bin.2|k141_90233_23	ompF|ompF_42_uniprot	98.4	99.7	100.0	2.8e-210	733.0	CDIpos	bin.2	Escherichia coli
SRR10507658|k141_15094_103	8.9732590665044	CDIpos_DASTool_bins_bin.2|k141_38616_5	nagA|nagA_54888_bv	100.0	99.7	95.0	1.4e-220	767.3	CDIpos	bin.2	Escherichia coli
SRR10507660|k141_20205_4	9.0098047952893	CDIpos_DASTool_bins_bin.71|k141_27995_10	SIAE|SIAE_9715_bv	100.0	99.8	100.0	6.8e-289	994.6	CDIpos	bin.71	Parabacteroides distasonis
SRR10507665|k141_17755_8	9.33867096075314	CDIpos_DASTool_bins_bin.71|k141_142106_3	nanU|nanU_191178_bv	99.1	99.1	99.6	3.2e-311	1068.9	CDIpos	bin.71	Parabacteroides distasonis
SRR10507660|k141_48021_41	8.13427271899498	CDIpos_DASTool_bins_SemiBin_130_sub|k141_9863_29	nanU|nanU_313707_bv	54.3	97.5	98.5	2.9e-166	587.4	CDIpos	SemiBin_130_sub	Alistipes onderdonkii
SRR10507660|k141_48021_97	8.93082772650381	CDIpos_DASTool_bins_SemiBin_130_sub|k141_69662_11	nanU|nanU_156911_bv	65.0	99.2	100.0	4.3e-193	676.4	CDIpos	SemiBin_130_sub	Alistipes onderdonkii
SRR10507660|k141_5820_67	9.72723226241866	CDIpos_DASTool_bins_bin.71|k141_134177_14	nanU|nanU_563729_bv	97.8	99.6	100.0	6.5e-298	1024.6	CDIpos	bin.71	Parabacteroides distasonis
SRR10507665|k141_31255_42	8.08994725199412	CDIpos_DASTool_bins_bin.71|k141_136117_3	nanU|nanU_305779_bv	60.5	99.7	100.0	1.4e-214	748.0	CDIpos	bin.71	Parabacteroides distasonis
SRR10507665|k141_51859_99	9.6968443499409	CDIpos_DASTool_bins_bin.71|k141_134177_14	nanU|nanU_563729_bv	97.8	99.6	100.0	6.5e-298	1024.6	CDIpos	bin.71	Parabacteroides distasonis
SRR10507666|k141_23232_9	9.98884692307822	CDIpos_DASTool_bins_bin.2|k141_40098_12	satD|WP_419102340.1	46.1	79.7	90.7	1.4e-59	232.3	CDIpos	bin.2	Escherichia coli
SRR10507666|k141_12311_66	8.80596029274506	CDIpos_DASTool_bins_bin.2|k141_76266_10	satD|WP_121660542.1	40.2	89.5	81.1	4.6e-25	117.1	CDIpos	bin.2	Escherichia coli
SRR10507666|k141_64_582	9.37538738991641	CDIpos_DASTool_bins_bin.2|k141_38616_5	nagA|nagA_54888_bv	100.0	99.7	95.0	1.4e-220	767.3	CDIpos	bin.2	Escherichia coli
SRR10507665|k141_51859_30	6.74933930286993	CDIpos_DASTool_bins_bin.71|k141_33955_6	nanU|nanU_302044_bv	46.5	99.6	98.4	3.9e-126	454.1	CDIpos	bin.71	Parabacteroides distasonis
SRR10507666|k141_34645_2	7.71046307257217	CDIpos_DASTool_bins_SemiBin_10|k141_64558_9	nanR|nanR_1411_uniprot	49.7	99.6	98.6	2.5e-121	438.0	CDIpos	SemiBin_10	Enterocloster aldenensis
SRR10507666|k141_64_441	9.74423232970711	CDIpos_DASTool_bins_bin.2|k141_127706_115	satD|WP_115412169.1	40.0	84.6	75.4	4.1e-32	140.6	CDIpos	bin.2	Escherichia coli
SRR10507662|k141_45655_27	7.84444394656617	diarrheaCDIneg_DASTool_bins_bin.6|k141_36190_27	nanU|nanU_93146_bv	98.9	96.1	100.0	0.0e+00	1191.0	diarrheaCDIneg	bin.6	Phocaeicola dorei
SRR10507666|k141_15135_20	7.02718869584991	CDIpos_DASTool_bins_SemiBin_10|k141_99019_11	siaM|siaM_6793_bv	100.0	99.8	100.0	1.8e-211	737.3	CDIpos	SemiBin_10	Enterocloster aldenensis
SRR10507666|k141_3278_49	8.07859344299532	CDIpos_DASTool_bins_bin.2|k141_12019_37	satD|WP_129315695.1	41.3	92.6	92.3	6.6e-47	189.9	CDIpos	bin.2	Escherichia coli
SRR10507658|k141_1282_41	7.38075871579799	CDIpos_DASTool_bins_SemiBin_48_sub|k141_103713_15	siaQ|siaQ_11754_bv	100.0	99.4	100.0	7.6e-86	318.5	CDIpos	SemiBin_48_sub	Enterocloster bolteae
SRR10507653|k141_83599_41	-8.13532556843039	CDIpos_DASTool_bins_bin.92|k141_82458_15	nagA|nagA_128853_bv	100.0	99.7	99.7	3.6e-224	779.2	CDIpos	bin.92	Faecalibacterium longum
SRR10507665|k141_19596_163	8.83009056767276	CDIpos_DASTool_bins_bin.71|k141_49118_8	siaM|siaM_130527_bv	100.0	99.8	99.8	1.5e-218	760.8	CDIpos	bin.71	Parabacteroides distasonis
SRR10507665|k141_51557_76	9.96279678405559	diarrheaCDIneg_DASTool_bins_bin.5|k141_66635_7	nanU|nanU_44722_bv	99.4	97.2	100.0	3.9e-301	1035.4	diarrheaCDIneg	bin.5	Parabacteroides distasonis
SRR10507659|k141_117413_111	7.78886845714238	CDIpos_DASTool_bins_SemiBin_130_sub|k141_69662_11	nanU|nanU_156911_bv	65.0	99.2	100.0	4.3e-193	676.4	CDIpos	SemiBin_130_sub	Alistipes onderdonkii
SRR10507660|k141_20915_14	6.54047974448176	CDIpos_DASTool_bins_bin.71|k141_137867_4	nagB|nagB_173245_bv	49.6	97.9	97.9	6.5e-62	239.6	CDIpos	bin.71	Parabacteroides distasonis
SRR10507665|k141_57009_38	7.67945073220166	CDIpos_DASTool_bins_bin.3|k141_114315_121	SIAE|SIAE_12166_uniprot	100.0	99.8	88.2	2.7e-290	999.2	CDIpos	bin.3	Ruthenibacterium lactatiformans
SRR10507660|k141_39517_8	6.45970809815091	CDIpos_DASTool_bins_bin.71|k141_75032_1	nanH|nanH_15173_bv	99.7	72.8	100.0	4.9e-235	815.8	CDIpos	bin.71	Parabacteroides distasonis
SRR10507658|k141_12980_60	9.06148741695775	CDIpos_DASTool_bins_bin.2|k141_121178_10	ompF|ompF_307_bv	68.1	99.7	100.0	1.9e-145	517.7	CDIpos	bin.2	Escherichia coli
SRR10507666|k141_12471_57	9.1283053610418	CDIpos_DASTool_bins_bin.2|k141_138055_41	nanA|nanA_5472_bv	100.0	99.7	96.4	5.4e-167	589.0	CDIpos	bin.2	Escherichia coli
SRR10507660|k141_48858_47	8.03733021751578	CDIpos_DASTool_bins_SemiBin_130_sub|k141_71900_2	nanU|nanU_168364_bv	41.9	99.8	99.6	2.0e-111	405.2	CDIpos	SemiBin_130_sub	Alistipes onderdonkii
SRR10507658|k141_34245_207	9.29721624431567	CDIpos_DASTool_bins_bin.2|k141_24274_14	ompF|ompF_60602_refseq	97.8	99.7	100.0	8.2e-210	731.5	CDIpos	bin.2	Escherichia coli
SRR10507660|k141_15775_23	6.65967217408033	CDIpos_DASTool_bins_bin.71|k141_108462_2	nanH|nanH_9455_bv	45.5	97.6	96.9	1.8e-112	408.3	CDIpos	bin.71	Parabacteroides distasonis
SRR10507666|k141_37925_8	7.15528035349743	CDIpos_DASTool_bins_SemiBin_10|k141_83629_8	siaM|siaM_8195_bv	100.0	99.8	100.0	1.4e-224	780.8	CDIpos	SemiBin_10	Enterocloster aldenensis
SRR10507665|k141_19596_118	8.31391658330098	CDIpos_DASTool_bins_bin.71|k141_77887_3	nanU|nanU_183841_bv	100.0	99.8	97.5	6.7e-295	1014.6	CDIpos	bin.71	Parabacteroides distasonis
SRR10507658|k141_16781_7	6.90127377333107	CDIpos_DASTool_bins_SemiBin_48_sub|k141_10564_10	satB|HUX88249.1	42.1	98.8	99.7	3.0e-62	241.1	CDIpos	SemiBin_48_sub	Enterocloster bolteae
SRR10507660|k141_19163_36	8.5207062529612	CDIpos_DASTool_bins_bin.71|k141_41686_4	nanU|nanU_79795_bv	60.7	99.6	99.4	1.8e-181	637.9	CDIpos	bin.71	Parabacteroides distasonis
SRR10507666|k141_64_581	7.18762769932935	CDIpos_DASTool_bins_bin.2|k141_38616_6	nagB|nagB_80253_bv	84.2	99.6	100.0	3.8e-140	499.6	CDIpos	bin.2	Escherichia coli
SRR10507658|k141_31782_19	9.19528785501156	CDIpos_DASTool_bins_bin.2|k141_41201_24	nanQ|nanQ_1757_bv	96.8	99.4	100.0	2.5e-83	310.1	CDIpos	bin.2	Escherichia coli
SRR10507666|k141_28259_520	8.87018111885808	CDIpos_DASTool_bins_bin.2|k141_14827_2	nanK|nanK_707_uniprot	55.3	87.2	96.4	1.7e-107	391.7	CDIpos	bin.2	Escherichia coli
SRR10507665|k141_13307_97	7.84929202245186	CDIpos_DASTool_bins_SemiBin_130_sub|k141_69662_11	nanU|nanU_156911_bv	65.0	99.2	100.0	4.3e-193	676.4	CDIpos	SemiBin_130_sub	Alistipes onderdonkii
SRR10507666|k141_10263_2	8.32345681599793	CDIpos_DASTool_bins_SemiBin_130_sub|k141_60217_42	SIAE|SIAE_11657_bv	100.0	99.8	99.8	1.3e-287	990.3	CDIpos	SemiBin_130_sub	Alistipes onderdonkii
SRR10507658|k141_41582_2	6.85477489248665	CDIpos_DASTool_bins_bin.3|k141_50534_82	satD|WP_271417843.1	43.4	75.9	87.6	1.2e-56	222.6	CDIpos	bin.3	Ruthenibacterium lactatiformans
SRR10507660|k141_57618_351	8.37245794082291	CDIpos_DASTool_bins_SemiBin_130_sub|k141_148527_13	nanK|nanK_7216_bv	43.5	96.1	96.8	2.5e-59	231.5	CDIpos	SemiBin_130_sub	Alistipes onderdonkii
SRR10507657|k141_22784_96	-9.57665176466997	control_DASTool_bins_SemiBin_137_sub|k141_65562_4	nanU|nanU_574553_bv	51.1	99.3	99.4	1.2e-153	545.4	control	SemiBin_137_sub	Bacteroides fragilis
SRR10507658|k141_31782_22	8.81929105483432	CDIpos_DASTool_bins_bin.2|k141_41201_27	siaP|siaP_523080_bv	53.2	95.7	94.3	2.6e-90	334.3	CDIpos	bin.2	Escherichia coli
SRR10507665|k141_60399_3	8.34814315267525	CDIpos_DASTool_bins_SemiBin_130_sub|k141_148527_13	nanK|nanK_7216_bv	43.5	96.1	96.8	2.5e-59	231.5	CDIpos	SemiBin_130_sub	Alistipes onderdonkii
SRR10507659|k141_117413_53	7.80574147669335	CDIpos_DASTool_bins_SemiBin_130_sub|k141_9863_29	nanU|nanU_313707_bv	54.3	97.5	98.5	2.9e-166	587.4	CDIpos	SemiBin_130_sub	Alistipes onderdonkii
SRR10507666|k141_18488_8	9.82423772574056	CDIpos_DASTool_bins_bin.2|k141_140806_6	satD|WP_249736668.1	40.2	89.2	82.5	2.5e-32	141.4	CDIpos	bin.2	Escherichia coli
SRR10507658|k141_15094_586	8.06336233915252	CDIpos_DASTool_bins_bin.2|k141_58348_11	satD|HJG53471.1	40.5	79.5	71.2	7.3e-26	119.8	CDIpos	bin.2	Escherichia coli
