CDS	condition	species	bin	log2FoldChange	Sialic_protein	Identity	Query_coverage	Subject_coverage	Bitscore	Evalue
SRR10507656|k141_42415_145	control	Eubacterium_R sp000434995	bin.32	-20.2406015543705	nagB|nagB_40150_bv	100.0	99.6	100.0	486.9	2.3e-136
SRR10507653|k141_131997_4	control	Eubacterium_R sp000434995	bin.32	-20.4961067679896	nagB|nagB_40150_bv	100.0	99.6	100.0	486.9	2.3e-136
SRR10507666|k141_12471_129	cdipos	Escherichia coli	bin.2	15.9007699215111	nagB|nagB_62438_bv	44.0	94.1	88.5	197.6	2.8e-49
SRR10507658|k141_11379_162	cdipos	Escherichia coli	bin.2	15.8729247277678	nagB|nagB_62438_bv	44.0	94.1	88.5	197.6	2.8e-49
SRR10507656|k141_110671_77	cdipos	Phocaeicola vulgatus	SemiBin_49	-6.30569833701035	nagB|nagB_74529_bv	99.6	99.6	100.0	537.7	1.3e-151
SRR10507654|k141_90765_29	cdipos	Phocaeicola massiliensis	bin.100	-18.8568671079719	nagB|nagB_9212_bv	100.0	99.6	100.0	541.6	8.7e-153
SRR10507658|k141_11379_234	cdipos	Escherichia coli	bin.2	18.070562285106	nanA|nanA_5472_bv	100.0	99.7	96.4	589.0	5.4e-167
SRR10507663|k141_2018_67	diarrheacdineg	Enterococcus_B faecium	SemiBin_28	30.0	nanE|nanE_26011_bv	100.0	99.6	93.4	437.2	2e-121
SRR10507661|k141_20902_22	diarrheacdineg	Enterococcus_B faecium	SemiBin_28	16.9180880134404	nanE|nanE_26011_bv	100.0	99.6	93.4	437.2	2e-121
SRR10507658|k141_11379_232	cdipos	Escherichia coli	bin.2	19.160192394236	nanE|nanE_8421_bv	100.0	99.6	87.7	448.4	8.800000000000001e-125
SRR10507666|k141_12471_59	cdipos	Escherichia coli	bin.2	18.1017514077486	nanE|nanE_8421_bv	100.0	99.6	87.7	448.4	8.800000000000001e-125
SRR10507662|k141_5254_6	cdipos	Escherichia coli	bin.2	10.2351113474245	nanE|nanE_8421_bv	100.0	99.6	87.7	448.4	8.800000000000001e-125
SRR10507662|k141_5379_25	cdipos	Parabacteroides distasonis	bin.71	6.73674972943743	nanH|nanH_15173_bv	99.7	72.8	100.0	815.8	4.9e-235
SRR10507654|k141_65043_2	control	Phocaeicola massiliensis	SemiBin_113	-19.3785010044728	nanH|nanH_4619_bv	99.8	78.4	100.0	907.1	1.7e-262
SRR10507659|k141_2390_14	control	Phocaeicola massiliensis	SemiBin_113	-19.5891435650081	nanH|nanH_4619_bv	99.8	78.4	100.0	907.1	1.7e-262
SRR10507661|k141_10409_38	diarrheacdineg	Enterococcus_B faecium	SemiBin_28	17.4643228099225	nanK|nanK_1618_bv	40.0	97.5	98.4	193.0	9.300000000000001e-48
SRR10507663|k141_15683_42	diarrheacdineg	Enterococcus_B faecium	SemiBin_28	17.3451951093724	nanK|nanK_1618_bv	40.0	97.5	98.4	193.0	9.300000000000001e-48
SRR10507661|k141_10280_52	diarrheacdineg	Enterococcus_B faecium	SemiBin_28	30.0	nanK|nanK_30939_bv	98.3	79.3	100.0	471.9	9.5e-132
SRR10507663|k141_7482_2	diarrheacdineg	Enterococcus_B faecium	SemiBin_28	30.0	nanK|nanK_30939_bv	98.3	79.3	100.0	471.9	9.5e-132
SRR10507656|k141_91866_394	control	Eubacterium_R sp000434995	bin.32	-21.1528916167196	nanK|nanK_40_bv	59.1	99.4	99.4	381.7	1.4e-104
SRR10507653|k141_136459_20	control	Eubacterium_R sp000434995	bin.32	-21.1663472997697	nanK|nanK_40_bv	59.1	99.4	99.4	381.7	1.4e-104
SRR10507662|k141_5254_5	diarrheacdineg	Escherichia coli	SemiBin_30	10.7360666045226	nanK|nanK_4989_bv	100.0	99.7	96.4	557.8	1.3000000000000001e-157
SRR10507658|k141_11379_231	cdipos	Escherichia coli	bin.2	19.2432598499414	nanK|nanK_717_bv	100.0	99.7	100.0	559.7	3.4000000000000003e-158
SRR10507666|k141_12471_60	cdipos	Escherichia coli	bin.2	18.5594085368156	nanK|nanK_717_bv	100.0	99.7	100.0	559.7	3.4000000000000003e-158
SRR10507654|k141_16561_14	diarrheacdineg	Phocaeicola dorei	bin.6	-6.69899181305675	nanK|nanK_7216_bv	41.7	94.4	96.5	230.3	5.3e-59
SRR10507666|k141_33141_32	cdipos	Phocaeicola vulgatus	SemiBin_49	-5.76696239750567	nanK|nanK_7216_bv	41.7	94.4	96.5	230.7	4e-59
SRR10507656|k141_20405_31	cdipos	Phocaeicola vulgatus	SemiBin_49	-5.87945813722791	nanK|nanK_7216_bv	41.7	94.4	96.5	230.7	4e-59
SRR10507659|k141_43925_22	cdipos	Phocaeicola vulgatus	SemiBin_49	-5.94192088376703	nanK|nanK_7216_bv	41.7	94.4	96.5	230.7	4e-59
SRR10507665|k141_58388_31	cdipos	Phocaeicola vulgatus	SemiBin_49	-5.9873633091136	nanK|nanK_7216_bv	41.7	94.4	96.5	230.7	4e-59
SRR10507653|k141_141271_19	cdipos	Phocaeicola vulgatus	SemiBin_49	-5.99306975171522	nanK|nanK_7216_bv	41.7	94.4	96.5	230.7	4e-59
SRR10507660|k141_54615_31	cdipos	Phocaeicola vulgatus	SemiBin_49	-6.02185272683175	nanK|nanK_7216_bv	41.7	94.4	96.5	230.7	4e-59
SRR10507655|k141_27795_19	cdipos	Phocaeicola vulgatus	SemiBin_49	-6.09074942169716	nanK|nanK_7216_bv	41.7	94.4	96.5	230.7	4e-59
SRR10507659|k141_97205_5	cdipos	Phocaeicola massiliensis	bin.100	-18.9231473911469	nanM|nanM_3259_bv	44.9	90.8	93.8	272.7	1.1e-71
SRR10507662|k141_1870_25	diarrheacdineg	Escherichia coli	SemiBin_30	7.66194179201077	nanM|nanM_464_bv	100.0	99.7	100.0	756.1	3.1999999999999997e-217
SRR10507666|k141_12471_61	cdipos	Escherichia coli	bin.2	-14.3190841193452	nanQ|nanQ_4_bv	100.0	99.4	100.0	315.5	6e-85
SRR10507662|k141_51282_25	cdipos	Parabacteroides distasonis	bin.71	21.8664548174481	nanQ|nanQ_634_uniprot	100.0	99.3	100.0	309.7	3.1999999999999997e-83
SRR10507662|k141_44351_214	diarrheacdineg	Enterocloster bolteae	SemiBin_60	21.4741572143905	nanR|nanR_1411_uniprot	43.8	98.8	98.8	413.3	6.599999999999999e-114
SRR10507662|k141_5254_9	diarrheacdineg	Escherichia coli	SemiBin_30	7.44595180271104	nanR|nanR_50_bv	93.5	99.6	100.0	452.6	5.3e-126
SRR10507658|k141_11379_235	cdipos	Escherichia coli	bin.2	19.6273797531984	nanR|nanR_8_bv	100.0	99.6	100.0	453.0	4.1000000000000004e-126
SRR10507665|k141_57414_10	cdipos	Bacteroides salyersiae	SemiBin_9_sub	-19.2041166240238	nanU|nanU_140524_bv	49.4	97.5	99.0	457.6	3.1999999999999998e-127
SRR10507660|k141_53655_10	cdipos	Bacteroides salyersiae	SemiBin_9_sub	-19.2429089786997	nanU|nanU_140524_bv	49.4	97.5	99.0	457.6	3.1999999999999998e-127
SRR10507656|k141_106844_92	control	Bacteroides uniformis	bin.115	-19.9261771935465	nanU|nanU_142022_bv	42.8	97.8	98.6	371.7	2.3e-101
SRR10507662|k141_27771_46	cdipos	Parabacteroides distasonis	bin.71	9.63939327723227	nanU|nanU_183841_bv	100.0	99.8	97.5	1014.6	6.7e-295
SRR10507653|k141_76051_38	cdipos	Phocaeicola vulgatus	SemiBin_49	-5.62339922432744	nanU|nanU_194521_bv	99.8	99.8	100.0	1072.0	3.6e-312
SRR10507655|k141_3778_3	cdipos	Phocaeicola vulgatus	SemiBin_49	-6.68522946138807	nanU|nanU_194521_bv	99.8	99.8	100.0	1072.0	3.6e-312
SRR10507660|k141_5855_34	cdipos	Phocaeicola vulgatus	SemiBin_49	-6.73327537873091	nanU|nanU_194521_bv	99.8	99.8	100.0	1072.0	3.6e-312
SRR10507658|k141_24740_13	cdipos	Phocaeicola vulgatus	SemiBin_49	-6.23822732998509	nanU|nanU_230315_bv	100.0	99.2	96.8	1060.8	8.3e-309
SRR10507654|k141_49817_24	cdipos	Phocaeicola vulgatus	SemiBin_49	-6.64572036230487	nanU|nanU_230315_bv	100.0	99.2	96.8	1060.8	8.3e-309
SRR10507656|k141_32052_42	cdipos	Phocaeicola vulgatus	SemiBin_49	-6.75986189395585	nanU|nanU_230315_bv	100.0	99.2	96.8	1060.8	8.3e-309
SRR10507665|k141_27370_65	cdipos	Phocaeicola vulgatus	SemiBin_49	-6.76843598517689	nanU|nanU_230315_bv	100.0	99.2	96.8	1060.8	8.3e-309
SRR10507655|k141_33561_30	cdipos	Phocaeicola vulgatus	SemiBin_49	-6.815328699434	nanU|nanU_230315_bv	100.0	99.2	96.8	1060.8	8.3e-309
SRR10507660|k141_22822_65	cdipos	Phocaeicola vulgatus	SemiBin_49	-6.8204490360191	nanU|nanU_230315_bv	100.0	99.2	96.8	1060.8	8.3e-309
SRR10507662|k141_13599_48	control	Parabacteroides distasonis	SemiBin_185	7.51588939148064	nanU|nanU_236219_bv	99.8	99.8	95.3	1031.6	5.3e-300
SRR10507656|k141_32052_20	cdipos	Phocaeicola vulgatus	SemiBin_49	-21.2771197340789	nanU|nanU_256107_bv	40.8	98.8	99.8	374.0	5.2e-102
SRR10507659|k141_97205_88	cdipos	Phocaeicola massiliensis	bin.100	-19.6792525729847	nanU|nanU_256145_bv	98.9	99.8	99.4	1130.2	0.0
SRR10507662|k141_38285_64	diarrheacdineg	Parabacteroides distasonis	bin.5	23.2146750212448	nanU|nanU_291680_bv	42.8	99.0	98.2	422.5	1.0999999999999999e-116
SRR10507665|k141_51859_58	cdipos	Parabacteroides distasonis	bin.71	22.1104549052141	nanU|nanU_291680_bv	42.6	99.0	98.2	419.1	1.1999999999999999e-115
SRR10507660|k141_5820_26	cdipos	Parabacteroides distasonis	bin.71	8.97475170209315	nanU|nanU_291680_bv	42.6	99.0	98.2	419.1	1.1999999999999999e-115
SRR10507657|k141_23247_62	cdipos	Phocaeicola vulgatus	SemiBin_49	-21.2980702677542	nanU|nanU_298447_bv	98.2	99.8	100.0	1124.4	0.0
SRR10507666|k141_612_42	cdipos	Phocaeicola vulgatus	SemiBin_49	-21.3319825910483	nanU|nanU_298447_bv	98.2	99.8	100.0	1124.4	0.0
SRR10507659|k141_10529_42	cdipos	Phocaeicola vulgatus	SemiBin_49	-21.3676021445446	nanU|nanU_298447_bv	98.2	99.8	100.0	1124.4	0.0
SRR10507660|k141_48658_43	cdipos	Parabacteroides distasonis	bin.71	9.48662389177874	nanU|nanU_305779_bv	60.5	99.7	100.0	748.0	1.4e-214
SRR10507662|k141_49279_2	cdipos	Parabacteroides distasonis	bin.71	8.66213997029779	nanU|nanU_305779_bv	60.5	99.7	100.0	748.0	1.4e-214
SRR10507655|k141_87380_3	cdipos	Phocaeicola vulgatus	SemiBin_49	-6.02843899998666	nanU|nanU_311719_bv	55.9	99.8	99.6	554.3	2.4e-156
SRR10507653|k141_113627_5	cdipos	Phocaeicola vulgatus	SemiBin_49	-5.85456756055065	nanU|nanU_317574_bv	100.0	99.8	99.0	1060.4	1.1e-308
SRR10507656|k141_106292_74	cdipos	Phocaeicola vulgatus	SemiBin_49	-5.97803602171516	nanU|nanU_317574_bv	100.0	99.8	99.0	1060.4	1.1e-308
SRR10507665|k141_27370_147	cdipos	Phocaeicola vulgatus	SemiBin_49	-6.08711783279115	nanU|nanU_317574_bv	100.0	99.8	99.0	1060.4	1.1e-308
SRR10507658|k141_33230_22	cdipos	Phocaeicola vulgatus	SemiBin_49	-6.10944111457647	nanU|nanU_317574_bv	100.0	99.8	99.0	1060.4	1.1e-308
SRR10507660|k141_22822_147	cdipos	Phocaeicola vulgatus	SemiBin_49	-6.22408281930923	nanU|nanU_317574_bv	100.0	99.8	99.0	1060.4	1.1e-308
SRR10507659|k141_1503_85	cdipos	Phocaeicola vulgatus	SemiBin_49	-6.2831714779056	nanU|nanU_317574_bv	100.0	99.8	99.0	1060.4	1.1e-308
SRR10507666|k141_475_85	cdipos	Phocaeicola vulgatus	SemiBin_49	-6.30078440746935	nanU|nanU_317574_bv	100.0	99.8	99.0	1060.4	1.1e-308
SRR10507654|k141_7681_77	cdipos	Phocaeicola vulgatus	SemiBin_49	-6.68572341124271	nanU|nanU_317574_bv	100.0	99.8	99.0	1060.4	1.1e-308
SRR10507660|k141_7501_5	cdipos	Phocaeicola vulgatus	SemiBin_49	-6.03488199410024	nanU|nanU_318479_bv	71.4	88.9	98.8	786.9	2.6e-226
SRR10507666|k141_13492_2	cdipos	Phocaeicola vulgatus	SemiBin_49	-6.51786224023146	nanU|nanU_318479_bv	71.4	88.9	98.8	786.9	2.6e-226
SRR10507662|k141_57403_99	diarrheacdineg	Parabacteroides distasonis	bin.5	6.66340558624344	nanU|nanU_378182_bv	46.0	97.1	99.6	453.8	5e-126
SRR10507654|k141_17993_91	cdipos	Phocaeicola massiliensis	bin.100	-19.77790078632	nanU|nanU_42577_bv	77.3	99.8	99.8	862.4	4.600000000000001e-249
SRR10507654|k141_27316_3	cdipos	Phocaeicola massiliensis	bin.100	-19.0180641219457	nanU|nanU_428403_bv	69.7	98.8	99.4	725.7	6.2e-208
SRR10507666|k141_13138_3	cdipos	Phocaeicola massiliensis	bin.100	-19.4072469568377	nanU|nanU_428403_bv	69.7	98.8	99.4	725.7	6.2e-208
SRR10507666|k141_3934_27	cdipos	Phocaeicola massiliensis	bin.100	-19.3466139589794	nanU|nanU_430414_bv	46.8	99.8	99.0	559.3	9.4e-158
SRR10507654|k141_23981_5	cdipos	Phocaeicola massiliensis	bin.100	-20.1680382459693	nanU|nanU_430414_bv	46.8	99.8	99.0	559.3	9.4e-158
SRR10507659|k141_49275_2	cdipos	Phocaeicola massiliensis	bin.100	-20.2102481902107	nanU|nanU_430414_bv	46.8	99.8	99.0	559.3	9.4e-158
SRR10507666|k141_870_12	cdipos	Phocaeicola massiliensis	bin.100	-15.6759518034457	nanU|nanU_444739_bv	99.8	93.9	100.0	980.3	1.4e-284
SRR10507660|k141_48859_76	diarrheacdineg	Parabacteroides distasonis	bin.5	22.6233127531335	nanU|nanU_44722_bv	99.4	97.2	100.0	1035.4	3.9e-301
SRR10507662|k141_13867_69	diarrheacdineg	Parabacteroides distasonis	bin.5	23.1742297915681	nanU|nanU_45837_bv	73.6	99.8	100.0	851.7	8.200000000000001e-246
SRR10507660|k141_52838_87	diarrheacdineg	Parabacteroides distasonis	bin.5	22.400908070487	nanU|nanU_45837_bv	73.6	99.8	100.0	851.7	8.200000000000001e-246
SRR10507654|k141_69886_27	cdipos	Phocaeicola massiliensis	bin.100	-18.3820866202013	nanU|nanU_460596_bv	43.8	99.2	98.4	394.4	3.2e-108
SRR10507658|k141_13788_82	control	Parabacteroides distasonis	SemiBin_185	-20.2690568605911	nanU|nanU_481889_bv	100.0	99.8	99.8	1110.1	0.0
SRR10507655|k141_31969_64	cdipos	Phocaeicola vulgatus	SemiBin_49	-6.23918222139338	nanU|nanU_497957_bv	75.9	97.8	99.8	768.1	1.1e-220
SRR10507665|k141_27370_139	cdipos	Phocaeicola vulgatus	SemiBin_49	-6.83796841137451	nanU|nanU_497957_bv	75.9	97.8	99.8	768.1	1.1e-220
SRR10507660|k141_22822_139	cdipos	Phocaeicola vulgatus	SemiBin_49	-6.93584685294224	nanU|nanU_497957_bv	75.9	97.8	99.8	768.1	1.1e-220
SRR10507654|k141_7681_85	cdipos	Phocaeicola vulgatus	SemiBin_49	-7.27747713653123	nanU|nanU_497957_bv	75.9	97.8	99.8	768.1	1.1e-220
SRR10507656|k141_106292_82	cdipos	Phocaeicola vulgatus	SemiBin_49	-7.29015958508334	nanU|nanU_497957_bv	75.9	97.8	99.8	768.1	1.1e-220
SRR10507655|k141_12089_1	control	Parabacteroides distasonis	SemiBin_185	-19.451851846208	nanU|nanU_500862_bv	41.0	96.4	96.8	355.9	1.3999999999999999e-96
SRR10507657|k141_43039_93	control	Parabacteroides distasonis	SemiBin_185	-19.6520025070379	nanU|nanU_500862_bv	41.0	96.4	96.8	355.9	1.3999999999999999e-96
SRR10507662|k141_5379_116	cdipos	Parabacteroides distasonis	bin.71	6.8230334242531	nanU|nanU_525511_bv	52.8	98.9	96.4	582.4	9.4e-165
SRR10507660|k141_22279_21	cdipos	Bacteroides salyersiae	SemiBin_9_sub	-20.1394143319626	nanU|nanU_554903_bv	53.7	97.4	97.2	588.6	1.3e-166
SRR10507655|k141_26940_16	control	Bacteroides uniformis	bin.115	-20.6967242231902	nanU|nanU_563802_bv	96.4	99.8	100.0	1077.8	0.0
SRR10507655|k141_9277_60	cdipos	Phocaeicola vulgatus	SemiBin_49	-6.54301158044065	nanU|nanU_572409_bv	43.5	86.6	76.6	368.2	2.6e-100
SRR10507653|k141_55382_2	cdipos	Phocaeicola vulgatus	SemiBin_49	-6.56977587906498	nanU|nanU_572409_bv	43.5	86.6	76.6	368.2	2.6e-100
SRR10507660|k141_6661_50	cdipos	Phocaeicola vulgatus	SemiBin_49	-6.59994030152796	nanU|nanU_572409_bv	43.5	86.6	76.6	368.2	2.6e-100
SRR10507665|k141_35839_38	cdipos	Phocaeicola vulgatus	SemiBin_49	-6.60014086749931	nanU|nanU_572409_bv	43.5	86.6	76.6	368.2	2.6e-100
SRR10507658|k141_19626_43	cdipos	Phocaeicola vulgatus	SemiBin_49	-6.65237330933876	nanU|nanU_572409_bv	43.5	86.6	76.6	368.2	2.6e-100
SRR10507659|k141_123017_12	cdipos	Phocaeicola vulgatus	SemiBin_49	-5.97678349224973	nanU|nanU_574902_bv	99.8	99.8	99.8	1028.1	5.799999999999999e-299
SRR10507666|k141_45943_17	cdipos	Phocaeicola vulgatus	SemiBin_49	-6.02501690476994	nanU|nanU_574902_bv	99.8	99.8	99.8	1028.1	5.799999999999999e-299
SRR10507655|k141_9478_85	cdipos	Phocaeicola vulgatus	SemiBin_49	-6.17906087910336	nanU|nanU_574902_bv	99.8	99.8	99.8	1028.1	5.799999999999999e-299
SRR10507660|k141_31451_55	cdipos	Phocaeicola vulgatus	SemiBin_49	-6.18881236106122	nanU|nanU_574902_bv	99.8	99.8	99.8	1028.1	5.799999999999999e-299
SRR10507665|k141_33370_55	cdipos	Phocaeicola vulgatus	SemiBin_49	-6.29488259762324	nanU|nanU_574902_bv	99.8	99.8	99.8	1028.1	5.799999999999999e-299
SRR10507657|k141_16342_115	cdipos	Phocaeicola vulgatus	SemiBin_49	-6.39751941363815	nanU|nanU_574902_bv	99.8	99.8	99.8	1028.1	5.799999999999999e-299
SRR10507656|k141_110671_101	cdipos	Phocaeicola vulgatus	SemiBin_49	-6.49335442067593	nanU|nanU_574902_bv	99.8	99.8	99.8	1028.1	5.799999999999999e-299
SRR10507654|k141_17708_38	cdipos	Phocaeicola vulgatus	SemiBin_49	-6.50953469289014	nanU|nanU_574902_bv	99.8	99.8	99.8	1028.1	5.799999999999999e-299
SRR10507660|k141_40245_14	cdipos	Bacteroides salyersiae	SemiBin_9_sub	-19.7876614646674	nanU|nanU_592890_bv	99.6	99.8	100.0	985.7	3.1999999999999996e-286
SRR10507658|k141_28685_61	cdipos	Phocaeicola vulgatus	SemiBin_49	-6.13504649584808	nanU|nanU_601173_bv	99.3	99.8	98.1	1151.3	0.0
SRR10507656|k141_20405_9	cdipos	Phocaeicola vulgatus	SemiBin_49	-6.32254710481204	nanU|nanU_601173_bv	99.3	99.8	98.1	1151.3	0.0
SRR10507666|k141_28584_38	cdipos	Phocaeicola vulgatus	SemiBin_49	-6.58128785865946	nanU|nanU_628889_bv	99.8	97.6	100.0	1073.9	9.5e-313
SRR10507665|k141_7615_38	cdipos	Phocaeicola vulgatus	SemiBin_49	-6.61442703699851	nanU|nanU_628889_bv	99.8	97.6	100.0	1073.9	9.5e-313
SRR10507654|k141_16509_18	cdipos	Phocaeicola vulgatus	SemiBin_49	-6.64154038187072	nanU|nanU_628889_bv	99.8	97.6	100.0	1073.9	9.5e-313
SRR10507659|k141_79417_73	cdipos	Phocaeicola vulgatus	SemiBin_49	-6.65695284406566	nanU|nanU_628889_bv	99.8	97.6	100.0	1073.9	9.5e-313
SRR10507660|k141_6438_38	cdipos	Phocaeicola vulgatus	SemiBin_49	-6.73138729695458	nanU|nanU_628889_bv	99.8	97.6	100.0	1073.9	9.5e-313
SRR10507653|k141_4079_37	cdipos	Phocaeicola vulgatus	SemiBin_49	-6.95914105039779	nanU|nanU_628889_bv	99.8	97.6	100.0	1073.9	9.5e-313
SRR10507657|k141_22784_47	cdipos	Phocaeicola vulgatus	SemiBin_49	-7.0213324099982	nanU|nanU_628889_bv	99.8	97.6	100.0	1073.9	9.5e-313
SRR10507655|k141_93115_2	control	Parabacteroides distasonis	SemiBin_185	-19.988692319598	nanU|nanU_645800_bv	99.6	99.8	99.4	1076.6	0.0
SRR10507660|k141_9918_80	cdipos	Phocaeicola vulgatus	SemiBin_49	-6.43284598735816	nanU|nanU_69728_bv	99.2	99.8	100.0	1051.6	5.1000000000000003e-306
SRR10507653|k141_95970_83	cdipos	Phocaeicola vulgatus	SemiBin_49	-6.17589408598309	nanU|nanU_71571_bv	44.1	99.6	99.7	556.6	6.7e-157
SRR10507659|k141_42601_146	cdipos	Phocaeicola vulgatus	SemiBin_49	-6.49937275550048	nanU|nanU_71571_bv	44.1	99.6	99.7	556.6	6.7e-157
SRR10507658|k141_23688_19	cdipos	Phocaeicola vulgatus	SemiBin_49	-6.50409958265383	nanU|nanU_71571_bv	44.1	99.6	99.7	556.6	6.7e-157
SRR10507665|k141_43666_44	cdipos	Phocaeicola vulgatus	SemiBin_49	-6.52424883483948	nanU|nanU_71571_bv	44.1	99.6	99.7	556.6	6.7e-157
SRR10507662|k141_45655_27	diarrheacdineg	Phocaeicola dorei	bin.6	8.04267757336116	nanU|nanU_93146_bv	98.9	96.1	100.0	1191.0	0.0
SRR10507666|k141_51130_39	cdipos	Escherichia coli	bin.2	18.5466308376892	ompF|ompF_6268_bv	65.9	99.7	100.0	483.4	3.7999999999999997e-135
SRR10507666|k141_18488_53	cdipos	Escherichia coli	bin.2	22.2221242398462	ompF|ompF_6607_bv	100.0	99.7	97.4	756.1	3.1999999999999997e-217
SRR10507666|k141_31756_50	cdipos	Escherichia coli	bin.2	18.9104338182509	satB|MBM3693078.1	40.0	97.5	99.4	219.2	1.2e-55
SRR10507662|k141_15701_40	diarrheacdineg	Pyramidobacter piscolens	SemiBin_70	9.83969659460749	satB|MBO2532523.1	40.3	98.7	99.7	199.5	9.5e-50
SRR10507662|k141_28286_106	diarrheacdineg	Pyramidobacter piscolens	SemiBin_70	9.02867522061269	satB|MCS6825930.1	40.2	95.7	97.1	221.1	3.2e-56
SRR10507662|k141_44596_10	diarrheacdineg	Enterocloster bolteae	SemiBin_60	8.72507378477615	satB|MFN4189717.1	43.8	99.0	99.3	256.5	6.5e-67
SRR10507666|k141_18311_28	cdipos	Escherichia coli	bin.2	-13.7133862616422	satB|MFN4189717.1	43.8	95.0	96.4	251.9	1.8000000000000001e-65
SRR10507662|k141_28286_1	diarrheacdineg	Pyramidobacter piscolens	SemiBin_70	9.38891770079892	satB|WP_263079827.1	57.0	99.7	100.0	349.4	7.499999999999999e-95
SRR10507666|k141_64_87	cdipos	Escherichia coli	bin.2	18.9161077334788	satD|HJG53471.1	40.5	79.5	71.2	119.8	7.3e-26
SRR10507663|k141_9088_44	diarrheacdineg	Enterococcus_B faecium	SemiBin_28	17.2738905870936	satD|MBW4095910.1	45.1	79.2	95.9	228.4	2e-58
SRR10507661|k141_12448_27	diarrheacdineg	Enterococcus_B faecium	SemiBin_28	17.2414366125549	satD|MBW4095910.1	45.1	79.2	95.9	228.4	2e-58
SRR10507666|k141_18311_25	cdipos	Escherichia coli	bin.2	15.9182054854501	satD|WP_022922052.1	47.9	79.3	92.8	228.0	2.5000000000000002e-58
