qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	baseMean	log2FoldChange	padj
SRR11927452|k99_941_2	GH2.UWF34674.1	66.3	1020	338	2	1	1015	1	1019	0.0e+00	1445.3	9.03171930340821	-21.6383181086155	2.3989118732859e-17
SRR11927449|k99_375_4	GH3.UVR10884.1	43.2	539	295	5	33	565	28	561	9.8e-124	443.7	18.9933960957768	-29.3568256456095	2.41923110610932e-17
SRR11927437|k99_7957_3	WP_082944018.1	75.1	651	162	0	46	696	7	657	4.2e-310	1062.8	14.028459443661	28.0890245776582	3.01064718497417e-16
SRR11927437|k99_10697_2	GH20.XJR74501.1	54.7	707	315	4	3	708	18	720	5.5e-233	806.6	9.62749938651364	29.379216301332	3.52580016624274e-15
SRR11927435|k99_10641_1	GH2.CBL02867.1	59.3	902	326	5	6	901	29	895	0.0e+00	1118.2	10.5069730718712	29.2782854292143	4.2901512623034e-15
SRR11927448|k99_16746_5	GH16.QVJ80220.1	61.5	338	122	3	35	371	34	364	1.1e-120	432.6	11.0321843846517	-27.1153821809683	4.55091830015561e-15
SRR11927435|k99_38391_3	GH95.UGU17702.1	56.4	753	313	6	27	766	27	777	9.2e-261	899.0	10.0911042668103	29.1860711024149	5.37846670239451e-15
SRR11927448|k99_16746_2	GH3.QUT44772.1	59.5	565	207	7	2	545	6	569	8.1e-182	636.7	22.3828309363656	-27.1983689364481	7.06204279817464e-15
SRR11927435|k99_39406_6	GH2.BBL01806.1	62.4	1003	357	4	1	999	1	987	0.0e+00	1324.7	11.9616696670044	25.7328168530408	9.18946246351416e-14
SRR11927448|k99_16746_3	GH3.UVR10884.1	43.0	539	296	5	33	565	28	561	4.8e-123	441.4	21.2288720813839	-26.0958762351748	9.35960002051156e-14
SRR11927435|k99_15087_3	GH2.WP_055167711.1	59.8	776	257	6	3	773	8	733	6.1e-270	929.5	9.80806960730869	27.1257530717787	5.1227255736667e-13
SRR11927446|k99_19541_1	GH42.UQT31706.1	57.8	606	234	6	1	604	1	586	1.3e-203	708.8	7.16167283297247	-27.0542228650328	9.90549078554677e-13
SRR11927461|k99_8889_3	GH31.SET57305.1	90.8	991	91	0	1	991	1	991	0.0e+00	1863.2	25.188382010362	-22.406015152073	4.11457572979201e-12
SRR11927445|k99_1819_2	GH31.SET57319.1	88.6	1276	146	0	1	1276	1	1276	0.0e+00	2298.1	32.6977158404204	-22.7726840555624	4.57745697343514e-12
SRR11927453|k119_4758_18	GH31.SET57319.1	88.6	1276	146	0	1	1276	1	1276	0.0e+00	2298.1	32.5805453191874	-22.7470920502448	4.57745697343514e-12
SRR11927461|k99_9452_3	WP_268114394.1	99.5	601	3	0	1	601	1	601	0.0e+00	1251.9	14.839792618205	-21.8357164756018	9.36739903663465e-12
SRR11927453|k119_4758_17	GH31.SET57305.1	90.8	991	91	0	1	991	1	991	0.0e+00	1863.2	24.9826223262287	-22.4074712109926	9.0101657428259e-11
SRR11927455|k99_1711_9	GH31.SET57319.1	88.6	1276	145	0	1	1276	1	1276	0.0e+00	2299.6	31.404184481346	-22.6240283574007	9.02193851825236e-11
SRR11927457|k99_6636_1	GH31.SET57319.1	89.1	1065	116	0	1	1065	1	1065	0.0e+00	1916.4	24.5643919161482	-22.4325212676439	9.37168193009977e-11
SRR11927455|k99_1711_8	GH31.SET57305.1	90.8	991	91	0	1	991	1	991	0.0e+00	1863.2	24.893749935612	-22.3980151993592	1.01595947408492e-10
SRR11927453|k119_2967_2	GH31.WAJ24905.1	99.1	665	6	0	34	698	1	665	0.0e+00	1406.3	19.6031769632167	-22.3706413010163	1.07315673120552e-10
SRR11927445|k99_1819_3	GH31.SET57305.1	90.8	991	91	0	1	991	1	991	0.0e+00	1863.2	25.0034313164645	-22.3452637157935	1.14420754402363e-10
SRR11927457|k99_6636_3	GH31.SET57296.1	91.2	536	47	0	1	536	1	536	3.9e-308	1055.8	14.8261672208016	-21.745594772872	1.63528796089946e-10
SRR11927461|k99_8889_4	GH31.SET57296.1	91.2	536	47	0	1	536	1	536	3.9e-308	1055.8	14.7570749138289	-21.6535599031925	1.87860837276733e-10
SRR11927453|k119_4758_16	GH31.SET57296.1	91.2	536	47	0	1	536	1	536	3.9e-308	1055.8	14.8774149666515	-21.6619790315179	1.9485744301921e-10
SRR11927445|k99_1819_4	GH31.SET57296.1	91.2	536	47	0	1	536	1	536	3.9e-308	1055.8	15.3354648258702	-21.530343039338	2.23779801787642e-10
SRR11927455|k99_1711_7	GH31.SET57296.1	91.2	536	47	0	1	536	1	536	3.9e-308	1055.8	14.5229387038676	-21.3230871792413	4.65953352598787e-10
SRR11927445|k99_3075_3	GH2.SET94562.1	74.3	1019	262	0	1	1019	1	1019	0.0e+00	1630.9	19.6051363230745	-22.4660246383098	1.30075663985414e-09
SRR11927453|k119_514_10	GH2.BCJ95530.1	40.9	1075	520	13	36	1009	69	1129	2.0e-252	871.7	27.2599252029448	-22.659263690367	1.37566246317393e-09
SRR11927445|k99_1702_10	GH2.BCJ95530.1	40.9	1075	520	13	36	1009	69	1129	2.0e-252	871.7	27.7061785036325	-22.6399016962597	1.40117206253301e-09
SRR11927461|k99_344_10	GH2.BCJ95530.1	40.9	1075	520	13	36	1009	69	1129	2.0e-252	871.7	26.7541826689931	-22.6330136149872	1.40132415674377e-09
SRR11927453|k119_4428_2	GH36.QEI32555.1	58.3	741	300	2	1	734	1	739	2.1e-267	921.0	22.9523239144558	-22.5674511744481	1.45005113902398e-09
SRR11927445|k99_2355_85	GH31.WAJ23728.1	99.5	808	4	0	1	808	1	808	0.0e+00	1721.1	21.9983216502973	-22.4749198951987	1.47949249739875e-09
SRR11927461|k99_2543_29	GH31.WAJ23728.1	99.5	808	4	0	1	808	1	808	0.0e+00	1721.1	22.0259255590093	-22.426861673241	1.53551927551e-09
SRR11927445|k99_2355_45	GH36.QEI32555.1	58.3	741	300	2	1	734	1	739	2.1e-267	921.0	21.6243830938125	-22.449104796064	1.5603815177801e-09
SRR11927453|k119_9600_2	GH2.SET94562.1	74.3	1019	262	0	1	1019	1	1019	0.0e+00	1630.9	20.2110155355963	-22.3065732198469	1.64370627552824e-09
SRR11927445|k99_1857_3	WP_268114394.1	99.5	601	3	0	1	601	1	601	0.0e+00	1251.9	14.2160565161539	-21.7891624696359	1.82405494636645e-09
SRR11927445|k99_332_118	WP_184093583.1	43.1	483	221	13	17	493	25	459	1.4e-94	346.3	15.2838786757973	-21.9092791245984	1.82405494636645e-09
SRR11927445|k99_1314_15	GH42.WAJ24927.1	99.1	676	6	0	26	701	1	676	0.0e+00	1421.0	16.0884104724882	-21.8990974784413	1.82405494636645e-09
SRR11927445|k99_2272_39	GH36.AII74158.1	41.8	641	363	6	49	683	49	685	2.8e-152	538.5	14.60712236182	-21.721101284089	1.82405494636645e-09
SRR11927445|k99_1633_67	GH95.WAJ22571.1	99.4	711	4	0	1	711	1	711	0.0e+00	1497.3	14.5603618641553	-21.6400007288414	1.82405494636645e-09
SRR11927445|k99_705_73	GH3.UVR10884.1	45.8	559	272	4	7	552	29	569	1.2e-136	486.5	14.9272263785323	-21.7092903917514	1.82405494636645e-09
SRR11927445|k99_736_7	GH31.WAJ24905.1	99.1	665	6	0	1	665	1	665	0.0e+00	1406.0	17.4337267876079	-22.0918479236722	1.82405494636645e-09
SRR11927453|k119_5058_12	GH3.UVR10884.1	45.8	559	272	4	7	552	29	569	1.2e-136	486.5	14.6809146301417	-21.7362182483582	1.82405494636645e-09
SRR11927453|k119_304_4	WP_268114394.1	99.5	601	3	0	1	601	1	601	0.0e+00	1251.9	13.2649483624035	-21.8339318074436	1.82405494636645e-09
SRR11927453|k119_596_1	WP_184093583.1	43.1	483	221	13	17	493	25	459	1.4e-94	346.3	15.6622370393483	-22.0255381536717	1.82405494636645e-09
SRR11927453|k119_3135_8	GH2.AJG98227.1	42.6	610	308	13	7	596	2	589	9.0e-136	483.4	12.2626545118978	-21.5272731544912	1.82405494636645e-09
SRR11927453|k119_1534_12	GH2.SET68766.1	80.0	1008	200	1	1	1008	1	1006	0.0e+00	1739.2	18.7139958459537	-22.0198140156488	1.82405494636645e-09
SRR11927455|k99_6640_11	GH2.SET68766.1	80.0	1008	200	1	1	1008	1	1006	0.0e+00	1739.2	18.7448867767748	-21.984201054035	1.82405494636645e-09
SRR11927455|k99_6838_10	WP_176253724.1	43.3	499	251	9	20	512	2	474	1.1e-97	356.7	14.2314936055337	-21.6395039239868	1.82405494636645e-09
SRR11927455|k99_3707_12	GH95.WAJ22571.1	99.4	711	4	0	1	711	1	711	0.0e+00	1497.3	13.4769860020335	-21.5852651238903	1.82405494636645e-09
SRR11927455|k99_7430_15	GH42.WAJ24927.1	99.1	676	6	0	26	701	1	676	0.0e+00	1421.0	16.4361936293156	-21.8353796476633	1.82405494636645e-09
SRR11927455|k99_2628_13	GH3.UVR10884.1	45.8	559	272	4	7	552	29	569	1.2e-136	486.5	15.1151937654513	-21.6258149471141	1.82405494636645e-09
SRR11927455|k99_11318_2	GH36.AVM41756.1	51.6	715	342	2	1	712	1	714	1.8e-223	775.0	18.59667150236	-22.0835735326187	1.82405494636645e-09
SRR11927457|k99_6238_2	GH2.SET68766.1	80.0	1008	200	1	1	1008	1	1006	0.0e+00	1739.2	20.114836001613	-22.1321142776933	1.82405494636645e-09
SRR11927461|k99_5992_41	WP_176253724.1	43.3	499	251	9	20	512	2	474	1.1e-97	356.7	15.5741674529878	-21.7532319723537	1.82405494636645e-09
SRR11927461|k99_509_42	GH36.AII74158.1	41.8	641	363	6	49	683	49	685	2.8e-152	538.5	15.8559132482836	-21.733836015499	1.82405494636645e-09
SRR11927461|k99_3504_45	GH31.WAJ24905.1	99.1	665	6	0	1	665	1	665	0.0e+00	1406.0	16.9222357997547	-22.058473768904	1.82405494636645e-09
SRR11927461|k99_4197_202	GH3.UVR10884.1	45.8	559	272	4	7	552	29	569	1.2e-136	486.5	15.4531255228188	-21.7391135893228	1.82405494636645e-09
SRR11927461|k99_10068_15	GH42.WAJ24927.1	99.1	676	6	0	26	701	1	676	0.0e+00	1421.0	15.8191695200101	-21.8772561287831	1.82405494636645e-09
SRR11927461|k99_7897_3	GH36.AVM41756.1	51.6	715	342	2	1	712	1	714	1.8e-223	775.0	17.0701613955515	-21.9607677933538	1.82405494636645e-09
SRR11927461|k99_2511_119	WP_184093583.1	43.1	483	221	13	17	493	25	459	1.4e-94	346.3	13.9855644008473	-21.7336557135799	1.82405494636645e-09
SRR11927461|k99_9520_22	GH95.WAJ22571.1	99.4	711	4	0	1	711	1	711	0.0e+00	1497.3	13.1769936094145	-21.522692301544	1.82771691823504e-09
SRR11927445|k99_256_40	WP_176253724.1	43.3	499	251	9	20	512	2	474	1.1e-97	356.7	13.9957015450382	-21.5579422735157	1.82780902200428e-09
SRR11927453|k119_2295_8	WP_459833546.1	56.3	373	159	1	55	427	28	396	1.3e-120	432.6	10.2285655342336	-21.487571689625	1.83111961624638e-09
SRR11927453|k119_3028_11	GH95.WAJ22571.1	99.4	711	4	0	1	711	1	711	0.0e+00	1497.3	14.9039748725193	-21.6015640876037	1.83351026875584e-09
SRR11927445|k99_478_8	GH2.AJG98227.1	42.6	610	308	13	7	596	2	589	9.0e-136	483.4	11.9979915693836	-21.4354190294509	1.84266879594545e-09
SRR11927445|k99_1589_29	GH2.SET68766.1	80.0	1008	200	1	1	1008	1	1006	0.0e+00	1739.2	18.9874055476145	-21.7344063148479	1.86253082175911e-09
SRR11927455|k99_9767_21	GH31.WAJ23728.1	99.8	808	2	0	1	808	1	808	0.0e+00	1729.1	18.5320123169841	-21.6716260356627	1.88604356760274e-09
SRR11927453|k119_3118_27	GH36.AII74158.1	41.8	641	363	6	49	683	49	685	2.8e-152	538.5	15.9942486889599	-21.5935155176184	1.93797530916173e-09
SRR11927453|k119_6669_16	WP_176253724.1	43.3	499	251	9	20	512	2	474	1.1e-97	356.7	13.6679478357013	-21.3997425407408	2.14562129085979e-09
SRR11927453|k119_9110_1	GH42.WAJ24927.1	99.1	676	6	0	26	701	1	676	0.0e+00	1421.0	16.0817624628011	-21.3143817714379	3.34712100364155e-09
SRR11927461|k99_9411_96	GH2.SET94562.1	74.3	1019	262	0	1	1019	1	1019	0.0e+00	1633.2	24.7202802370657	-20.9893831519892	8.01467182824541e-09
SRR11927460|k99_3627_23	GH31.WAJ26076.1	81.8	833	152	0	1	833	1	833	0.0e+00	1472.2	24.4937972521504	-14.9048339861502	9.19967019706657e-06
SRR11927444|k99_6593_1	GH2.AWZ38459.1	96.3	991	37	0	1	991	1	991	0.0e+00	2019.6	14.2310992467852	-7.20237545523413	0.000390614331009574
SRR11927446|k99_26356_1	GH2.AWZ38459.1	96.3	936	35	0	1	936	1	936	0.0e+00	1905.2	13.2202487170608	-7.38235523524748	0.000774265072587689
SRR11927462|k99_7277_2	GH42.QJU13356.1	50.1	668	329	3	3	667	2	668	1.0e-204	712.6	13.3408860742854	7.66161044638284	0.00087523845534098
SRR11927443|k99_2495_2	GH36.AWZ38451.1	98.1	732	14	0	3	734	1	732	0.0e+00	1472.2	12.4916274114108	-7.30518580490998	0.00193879673295144
SRR11927449|k99_3468_16	GH35.WOY89634.1	99.3	598	4	0	1	598	1	598	0.0e+00	1228.8	13.3034721025926	-7.40020481807624	0.00231814612581634
SRR11927444|k99_9711_6	GH36.AWZ38451.1	98.1	732	14	0	1	732	1	732	0.0e+00	1471.8	11.3547918699409	-7.16294939422817	0.00258160330907846
SRR11927443|k99_20297_1	GH2.AWZ38459.1	96.4	938	34	0	1	938	1	938	0.0e+00	1909.0	12.947658423973	-7.06876282270589	0.00259870557505706
SRR11927449|k99_744_24	GH2.AWZ38459.1	96.3	998	37	0	1	998	1	998	0.0e+00	2035.0	14.9359150656605	-7.27623637971588	0.00265435653890869
SRR11927447|k99_20706_3	GH2.AWZ38459.1	96.3	998	37	0	1	998	1	998	0.0e+00	2035.0	15.3440280369759	-7.61103065018511	0.00441987432907073
SRR11927444|k99_219_19	GH35.WOY89634.1	99.3	598	4	0	1	598	1	598	0.0e+00	1228.8	10.5784154665279	-6.77742785358188	0.00487467013399731
SRR11927447|k99_9876_5	GH36.AWZ38451.1	98.1	732	14	0	1	732	1	732	0.0e+00	1471.8	10.4954204522321	-7.05997489697287	0.00519290098409427
SRR11927449|k99_8546_12	WP_242334730.1	41.6	351	187	6	62	406	43	381	1.0e-59	230.3	12.0274608352964	-7.25669152649269	0.00569411725641123
SRR11927462|k99_3485_1	WP_251316959.1	80.2	369	72	1	44	411	1	369	1.4e-164	578.6	8.77351138014485	7.05731892662497	0.00570025179466218
SRR11927435|k99_38179_1	GH3.UVR10884.1	42.0	424	215	6	1	411	164	569	1.8e-90	332.8	8.9055438276581	6.7515217805687	0.00587682328267966
SRR11927447|k99_18793_13	GH35.WOY89634.1	99.3	598	4	0	1	598	1	598	0.0e+00	1228.8	11.1995191286557	-7.14671144942816	0.0059565685341034
SRR11927435|k99_8842_4	GH3.CBL13854.1	67.1	486	151	2	1	477	83	568	4.6e-191	666.8	8.25806350692885	6.94372094675966	0.00614333998644881
SRR11927449|k99_5011_2	GH36.AWZ38451.1	98.1	732	14	0	1	732	1	732	0.0e+00	1471.8	10.5030720332371	-7.05614584297678	0.0061673440939043
SRR11927443|k99_1068_9	GH35.WOY89634.1	99.3	598	4	0	1	598	1	598	0.0e+00	1228.8	9.24547974458022	-6.87624170982583	0.0068072914486592
SRR11927442|k79_13148_1	GH2.AWZ38459.1	96.9	773	24	0	1	773	120	892	0.0e+00	1580.8	11.5400423888434	-7.20017178860116	0.00704867515088796
SRR11927443|k99_17737_2	WP_242334730.1	41.6	351	187	6	62	406	43	381	1.0e-59	230.3	7.00501682431183	-6.46251216689135	0.00711737058983669
SRR11927446|k99_10094_2	GH36.AWZ38451.1	98.1	732	14	0	1	732	1	732	0.0e+00	1471.8	11.2772739689968	-7.1666651798711	0.00773011923760385
SRR11927447|k99_9761_18	WP_242334730.1	41.6	351	187	6	62	406	43	381	1.0e-59	230.3	6.75889838006584	-6.41697416510694	0.00841637688203979
SRR11927446|k99_3133_3	WP_242334730.1	41.6	351	187	6	62	406	43	381	1.0e-59	230.3	5.86010049376989	-6.18690550734758	0.00896158015738477
SRR11927438|k99_27993_2	GH29.VFH84816.1	63.4	429	156	1	10	437	11	439	6.7e-181	632.9	6.76324265283178	6.68171585834616	0.00976928310704831
SRR11927435|k99_43281_3	GH35.QRT50979.1	52.8	534	230	4	1	534	1	512	2.3e-167	588.2	7.44402289784413	6.78096149825766	0.0105247225449643
SRR11927444|k99_3657_4	GH2.UWF34674.1	66.6	1020	335	2	1	1015	1	1019	0.0e+00	1446.4	13.681392466049	-7.43820200479748	0.0113384199786792
SRR11927462|k99_20290_5	GH3.QCI59548.1	57.9	354	142	3	43	391	41	392	3.5e-112	404.4	8.55210223816332	7.02116909758367	0.011754174362543
SRR11927435|k99_11781_2	GH42.WNR42900.1	46.5	647	321	8	1	626	1	643	1.3e-180	632.5	10.6020928693195	5.64032014078783	0.012058301491218
SRR11927438|k99_13036_2	GH3.QCI59548.1	56.8	366	151	3	1	361	29	392	1.9e-112	405.2	6.91055669899623	6.3865497842413	0.0131615171501518
SRR11927443|k99_15214_2	GH2.UWF34674.1	66.6	1020	335	2	1	1015	1	1019	0.0e+00	1446.4	12.840954796803	-7.33486707223677	0.0142751830566444
SRR11927444|k99_4260_2	WP_242334730.1	41.6	351	187	6	62	406	43	381	1.0e-59	230.3	6.05906165521765	-6.2523810801621	0.0155560514277529
SRR11927447|k99_11566_5	GH2.ANU47447.1	47.8	822	425	3	1	819	1	821	4.1e-240	830.5	9.39337251230318	-6.90391288117742	0.0157101309992165
SRR11927449|k99_11706_2	WP_083535713.1	43.5	774	389	18	215	974	27	766	5.9e-169	594.3	30.2212477600553	-8.5362164072475	0.015758548903464
SRR11927462|k99_24223_4	WP_186877459.1	57.6	453	188	3	1	452	1	450	1.4e-133	475.7	10.8576630908593	4.81637685852735	0.0159737483495059
SRR11927442|k79_4669_2	WP_242334730.1	41.6	351	187	6	62	406	43	381	1.2e-59	229.9	5.66529001479963	-6.16733092717301	0.0166115478973857
SRR11927463|k99_8902_1	GH42.ANU54828.1	88.4	585	68	0	1	585	1	585	0.0e+00	1128.2	9.5495962348319	6.4724198373555	0.016641377834793
SRR11927434|k99_23347_7	WP_083535713.1	43.0	776	392	19	215	976	27	766	8.0e-166	583.9	31.6265255812453	8.30045396817598	0.0168073140275647
SRR11927434|k99_17377_12	GH36.AWY99188.1	56.7	730	282	5	4	731	5	702	3.1e-255	880.6	13.8055913074142	9.42744974598234	0.0171467332307173
SRR11927463|k99_15912_41	WP_083535713.1	43.0	776	392	19	215	976	27	766	8.0e-166	583.9	32.8523843686517	8.24671081691269	0.017924652573233
SRR11927442|k79_6146_3	GH35.WOY89634.1	99.5	552	3	0	1	552	47	598	0.0e+00	1135.9	9.92423652573621	-6.98179387230216	0.0179394258153493
SRR11927435|k99_34637_1	GH29.BDG67518.1	59.8	470	188	1	24	492	16	485	3.0e-185	647.5	8.36906291823763	6.66409730339228	0.0182692447259994
SRR11927447|k99_2616_2	GH2.UWF34674.1	66.6	1020	335	2	1	1015	1	1019	0.0e+00	1446.4	12.2273026493999	-7.24186293472715	0.0182919481061322
SRR11927462|k99_17783_6	GH29.VFH84816.1	62.9	429	158	1	10	437	11	439	2.8e-179	627.5	8.24211100793828	6.68199344878178	0.0184414284761755
SRR11927448|k99_8654_2	GH3.CBL13854.1	40.9	574	328	6	230	793	1	573	6.1e-124	444.5	13.0753117986367	-7.37894197347944	0.0199498624331159
SRR11927434|k99_1650_8	GH20.QIL41543.1	48.8	744	351	7	39	776	57	776	1.1e-207	722.6	22.5852183178312	6.79965110071849	0.0208934395377937
SRR11927439|k99_29155_1	GH29.UOX56747.1	79.8	346	70	0	1	346	71	416	3.2e-178	623.6	5.45143205200403	6.36860567746277	0.0220062658614055
SRR11927438|k99_21926_2	WP_251318773.1	77.2	346	79	0	5	350	2	347	1.3e-62	239.6	5.41082471416957	5.64188838257581	0.0229296581209634
SRR11927450|k99_7289_2	GH89.UHZ88335.1	64.1	715	254	2	2	713	4	718	3.3e-294	1010.0	20.4555764934375	-8.45652877997587	0.0235823384295029
SRR11927463|k99_17548_4	WP_083535713.1	65.1	747	251	7	211	950	24	767	1.8e-295	1014.6	29.1112279225808	8.78737881993615	0.0247416295438691
SRR11927434|k99_23236_1	GH2.UWP48101.1	69.0	816	251	1	14	827	19	834	0.0e+00	1236.1	27.8393645788097	8.72290701350396	0.0258222762138245
SRR11927437|k99_18799_2	GH2.UWP48101.1	67.9	834	263	2	18	846	1	834	0.0e+00	1228.8	27.6209539005446	8.71151100987528	0.0258222762138245
SRR11927437|k99_17141_14	WP_083535713.1	64.7	747	254	7	211	950	24	767	3.4e-294	1010.4	26.834745378826	8.66982241202648	0.0261375017862888
SRR11927448|k99_9939_3	GH2.QHQ60713.1	63.9	699	241	4	11	702	2	696	8.5e-287	985.3	10.4059311009538	-6.75413594446453	0.026385104216858
SRR11927435|k99_38651_2	GH20.QIL41543.1	48.8	744	351	7	39	776	57	776	1.1e-207	722.6	22.2511950132991	8.11577283849733	0.0263925529007672
SRR11927463|k99_29355_21	GH2.UWP48101.1	68.1	834	261	2	1	829	1	834	0.0e+00	1235.7	26.7621406560892	8.66596068207089	0.0264019893152513
SRR11927434|k99_7643_1	GH20.QRO51603.1	59.3	749	299	4	12	758	10	754	3.5e-270	930.2	25.9975916133328	8.62420858938003	0.0276249802536828
SRR11927434|k99_6113_4	WP_066402067.1	74.6	710	179	1	3	711	2	711	0.0e+00	1128.6	25.5641054632032	8.59993735770233	0.0277132762780847
SRR11927463|k99_7511_4	GH89.UHZ88335.1	64.9	715	248	2	2	713	4	718	9.2e-297	1018.5	26.0216327396939	8.6255292648154	0.0277323070025922
SRR11927449|k99_9673_2	GH20.QIL41543.1	49.2	744	348	7	28	765	57	776	7.8e-209	726.5	23.5912745680802	-8.27196489220784	0.0278712536708533
SRR11927437|k99_7199_9	GH89.UHZ88335.1	64.6	715	250	2	2	713	4	718	4.6e-296	1016.1	18.8939942822996	7.55595899235018	0.0279009322617473
SRR11927436|k99_11705_2	GH20.ADV44725.1	65.6	643	216	3	2	641	28	668	2.9e-265	913.7	16.6744985133044	7.03204756508304	0.0281703333495908
SRR11927436|k99_22939_2	WP_245820198.1	57.5	676	287	0	4	679	20	695	7.7e-232	802.7	19.2610014332872	7.47634625172077	0.0285086737561011
SRR11927435|k99_17355_1	GH2.QLK83006.1	70.4	776	229	1	1	775	58	833	0.0e+00	1183.7	24.324615124022	8.52818024682363	0.0287201127668392
SRR11927435|k99_11385_2	GH89.UHZ88335.1	64.6	715	250	2	2	713	4	718	4.6e-296	1016.1	20.543332579919	8.00045965646547	0.0287222317232043
SRR11927436|k99_5347_1	GH2.ADY31985.1	65.1	760	264	1	1	760	76	834	0.0e+00	1085.9	26.483518143477	7.55266593774417	0.0288697086103458
SRR11927436|k99_20693_1	GH2.UWP48101.1	68.1	834	261	2	6	834	1	834	0.0e+00	1235.7	23.962170327604	8.50637627401174	0.0289576783697678
SRR11927463|k99_18987_3	WP_066402067.1	74.6	710	179	1	3	711	2	711	0.0e+00	1128.6	24.2994680177305	8.52675063070113	0.0290565453907046
SRR11927434|k99_2404_4	GH89.UHZ88335.1	64.9	715	248	2	2	713	4	718	9.2e-297	1018.5	24.3876150549581	8.53198607015121	0.0294029764734731
SRR11927437|k99_15801_8	GH20.QIL41543.1	48.8	744	351	7	39	776	57	776	1.1e-207	722.6	20.5280489403604	7.96313423374633	0.0294251335109202
SRR11927436|k99_13408_2	GH2.WIO73987.1	44.4	667	341	11	8	650	18	678	7.3e-155	547.0	19.5018531663416	7.92525810931204	0.0294661591647913
SRR11927437|k99_10106_8	WP_245820198.1	57.2	676	289	0	4	679	20	695	1.7e-231	801.6	21.788823274098	6.74161904103567	0.029817781271386
SRR11927463|k99_940_15	GH20.QRO51603.1	59.3	749	299	4	12	758	10	754	3.5e-270	930.2	23.7369072018531	8.4929857433071	0.0298906982292935
SRR11927435|k99_44925_1	GH20.QRO51603.1	59.3	749	299	4	13	759	10	754	7.1e-271	932.6	23.2208317171735	8.46113802711854	0.0300545397899109
SRR11927437|k99_11494_10	WP_251619867.1	82.8	686	118	0	1	686	13	698	0.0e+00	1184.9	18.7981823039626	7.43753628061132	0.0300992800172178
SRR11927463|k99_9918_8	GH20.QIL41543.1	48.8	744	351	7	39	776	57	776	1.1e-207	722.6	22.9833825416119	7.49062631568238	0.0303876143259968
SRR11927461|k99_8889_2	GH31.SET57319.1	88.6	1276	146	0	1	1276	1	1276	0.0e+00	2298.1	33.4273445842928	-8.22430728450161	0.0307608404992579
SRR11927435|k99_34748_3	WP_066402067.1	74.5	710	180	1	3	711	2	711	0.0e+00	1126.7	22.3963129541913	8.4089976398907	0.0308691923728208
SRR11927457|k99_6636_2	GH31.SET57305.1	90.8	991	91	0	40	1030	1	991	0.0e+00	1865.1	33.1832780162919	-8.1552899837291	0.0310074428167364
SRR11927436|k99_19421_2	GH20.QIL41543.1	48.8	744	351	7	39	776	57	776	1.1e-207	722.6	22.1648850864834	7.86356668670847	0.0310397942057874
SRR11927437|k99_15596_10	WP_066402067.1	74.5	710	180	1	3	711	2	711	0.0e+00	1126.7	21.856187715931	8.37377233106703	0.0312571999444094
SRR11927434|k99_5661_1	WP_251619867.1	82.4	686	121	0	1	686	13	698	0.0e+00	1177.5	18.5186945478682	7.81035352809331	0.0313743833896041
