qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	baseMean	log2FoldChange	padj
SRR11927460|k99_6582_37	GH2.BCJ95530.1	42.6	1093	507	13	33	1015	66	1148	2.9e-267	921.0	25.2669760269655	-23.9938052597733	7.84356178022988e-13
SRR11927460|k99_2403_39	GH3.UVR10884.1	44.5	542	265	6	5	511	30	570	3.5e-120	431.8	18.2413893858351	-23.6604418594529	8.18628672861125e-13
SRR11927460|k99_1419_7	GH95.WAJ22571.1	72.2	713	196	1	1	713	1	711	0.0e+00	1122.5	17.5529819020765	-23.5640420678101	1.16845909300593e-12
SRR11927460|k99_2403_38	GH31.QOV18829.1	75.8	747	181	0	1	747	1	747	0.0e+00	1263.1	19.1785409592126	-23.5707330475541	1.26757659846684e-12
SRR11927462|k99_6398_3	GH3.XHR92735.1	44.3	576	308	7	161	728	2	572	7.1e-135	480.7	11.5854760491675	22.1631338420943	1.32575868338081e-12
SRR11927460|k99_5247_30	WP_100307226.1	47.8	381	194	3	27	403	21	400	8.5e-95	347.1	15.4179294830102	-23.3524305021789	1.56330351534025e-12
SRR11927440|k99_4789_2	GH3.UVR10884.1	43.5	577	274	6	21	586	35	570	4.8e-131	468.0	12.5297268568889	23.4001094846654	1.59512704864747e-12
SRR11927462|k99_12999_3	GH36.AVM41756.1	53.1	734	335	3	1	731	1	728	1.8e-239	828.2	12.225723433184	22.2185241440539	2.05507025185566e-12
SRR11927460|k99_261_6	GH42.UOX58106.1	61.4	665	257	0	10	674	8	672	2.7e-266	917.1	14.864936273275	-23.2792530656933	2.05547850115639e-12
SRR11927462|k99_6159_2	GH95.UWP55508.1	59.8	739	294	2	1	736	1	739	1.1e-265	915.2	12.9625795206911	22.1498418585032	2.09152406129478e-12
SRR11927461|k99_9452_3	WP_268114394.1	99.5	601	3	0	1	601	1	601	0.0e+00	1251.9	14.839792618205	-22.5958579217179	2.41756419007885e-12
SRR11927434|k99_17377_12	GH36.AWY99188.1	56.7	730	282	5	4	731	5	702	3.1e-255	880.6	13.8055913074142	22.887390113056	2.56484830514667e-12
SRR11927448|k99_9776_2	GH2.ADY34049.1	69.3	1030	313	2	1	1028	1	1029	0.0e+00	1551.6	35.0451058741579	18.1106061801731	2.58330498770812e-12
SRR11927439|k99_32660_11	GH2.QQY41744.1	66.0	938	315	2	19	952	32	969	0.0e+00	1383.2	30.6714685044264	23.9320688964579	3.16683220387854e-12
SRR11927462|k99_16342_3	GH20.ABX40994.1	53.4	605	278	2	1	604	1	602	2.1e-193	674.9	10.9967091365061	21.9018277247004	3.29610096121822e-12
SRR11927460|k99_4038_8	GH2.AJG98227.1	41.1	613	319	12	7	599	2	592	1.8e-131	469.2	13.1053447131984	-22.8531042501857	4.35582089088906e-12
SRR11927449|k99_6562_1	GH2.ADY31985.1	64.5	813	288	1	25	837	23	834	0.0e+00	1152.9	25.7178637833866	19.0826704900994	6.89057090269509e-12
SRR11927439|k99_32660_12	WP_107032344.1	77.2	378	83	2	1	376	1	377	4.5e-186	649.8	11.5606374803096	22.5865988759173	7.28142264943889e-12
SRR11927455|k99_1711_9	GH31.SET57319.1	88.6	1276	145	0	1	1276	1	1276	0.0e+00	2299.6	31.404184481346	-23.8307616088572	9.1740872383969e-12
SRR11927439|k99_4052_4	GH95.UWO03956.1	67.3	822	265	4	1	819	1	821	0.0e+00	1169.1	21.0201188535975	23.1026672835666	1.00920964662955e-11
SRR11927453|k119_4758_17	GH31.SET57305.1	90.8	991	91	0	1	991	1	991	0.0e+00	1863.2	24.9826223262287	-23.5407434384839	1.03980393273774e-11
SRR11927439|k99_4819_42	GH31.QUT32557.1	50.4	785	380	4	2	780	4	785	1.6e-230	798.5	21.3048812685668	23.2738828242269	1.04172693164585e-11
SRR11927437|k99_13682_2	GH2.QQY41744.1	65.9	938	316	2	19	952	32	969	0.0e+00	1379.8	17.5574341470326	23.1165989062776	1.07069146549613e-11
SRR11927455|k99_1711_8	GH31.SET57305.1	90.8	991	91	0	1	991	1	991	0.0e+00	1863.2	24.893749935612	-23.5359821472868	1.16912600786567e-11
SRR11927439|k99_9928_1	WP_010266002.1	75.9	704	167	3	1	702	1	703	0.0e+00	1097.8	18.9599705641086	23.2278897800597	1.21422774728458e-11
SRR11927439|k99_20216_29	WP_082944018.1	75.4	651	160	0	46	696	7	657	1.7e-311	1067.4	19.2977432866634	24.0745620292161	1.23899517900884e-11
SRR11927457|k99_6636_1	GH31.SET57319.1	89.1	1065	116	0	1	1065	1	1065	0.0e+00	1916.4	24.5643919161482	-23.4954044169352	1.26522343076696e-11
SRR11927445|k99_1819_4	GH31.SET57296.1	91.2	536	47	0	1	536	1	536	3.9e-308	1055.8	15.3354648258702	-22.9467777530082	1.30321383335023e-11
SRR11927445|k99_1819_3	GH31.SET57305.1	90.8	991	91	0	1	991	1	991	0.0e+00	1863.2	25.0034313164645	-23.4116167038465	1.52423412589731e-11
SRR11927453|k119_4758_16	GH31.SET57296.1	91.2	536	47	0	1	536	1	536	3.9e-308	1055.8	14.8774149666515	-22.8490045906462	1.89306061408629e-11
SRR11927437|k99_7957_3	WP_082944018.1	75.1	651	162	0	46	696	7	657	4.2e-310	1062.8	14.028459443661	23.6768295537688	1.90844702859946e-11
SRR11927461|k99_8889_4	GH31.SET57296.1	91.2	536	47	0	1	536	1	536	3.9e-308	1055.8	14.7570749138289	-22.8169686500669	1.91046833249868e-11
SRR11927450|k99_1681_1	GH2.QUT69940.1	68.1	891	281	2	1	889	234	1123	0.0e+00	1304.3	28.6225219631533	18.2590940226162	2.11022325822864e-11
SRR11927449|k99_69_4	GH36.CUA16889.1	68.1	718	226	3	5	721	4	719	9.0e-308	1055.0	26.7920524170632	18.4731390362056	2.12898910053738e-11
SRR11927457|k99_6636_3	GH31.SET57296.1	91.2	536	47	0	1	536	1	536	3.9e-308	1055.8	14.8261672208016	-22.7899334336779	2.14032198513188e-11
SRR11927435|k99_33593_1	GH31.UBD12839.1	66.6	1294	419	4	4	1291	8	1294	0.0e+00	1809.3	13.35686653788	23.4481341486969	2.63654886005637e-11
SRR11927453|k119_2967_2	GH31.WAJ24905.1	99.1	665	6	0	34	698	1	665	0.0e+00	1406.3	19.6031769632167	-23.0625246638398	3.11772966102984e-11
SRR11927437|k99_16663_2	GH31.UBD12839.1	66.6	1294	419	4	4	1291	8	1294	0.0e+00	1809.3	14.3799954789643	23.381114726811	3.42665341983725e-11
SRR11927435|k99_39406_6	GH2.BBL01806.1	62.4	1003	357	4	1	999	1	987	0.0e+00	1324.7	11.9616696670044	23.253067428649	3.96017028749969e-11
SRR11927461|k99_2543_32	GH31.WAJ26076.1	99.6	833	3	0	1	833	1	833	0.0e+00	1730.7	16.263787485934	-23.4607253575318	4.68618180528365e-11
SRR11927445|k99_2355_82	GH31.WAJ26076.1	99.6	833	3	0	1	833	1	833	0.0e+00	1730.7	16.5966108983313	-23.4170961800175	5.13377104022407e-11
SRR11927455|k99_1711_7	GH31.SET57296.1	91.2	536	47	0	1	536	1	536	3.9e-308	1055.8	14.5229387038676	-22.4315735082902	5.23685102737835e-11
SRR11927460|k99_2647_7	GH2.SEH92831.1	47.5	769	381	12	5	759	27	786	1.7e-198	692.2	16.743504815919	-23.47764291629	5.93756602002683e-11
SRR11927450|k99_7533_1	GH36.CUA16889.1	67.7	718	229	3	5	721	4	719	1.9e-305	1047.3	23.2194962219606	17.8764789881018	6.37472844397555e-11
SRR11927453|k119_7808_22	GH31.WAJ26076.1	99.6	833	3	0	1	833	1	833	0.0e+00	1730.7	16.0277463493541	-23.3449947805727	6.90934228722635e-11
SRR11927462|k99_8039_1	GH31.BDF46845.1	87.5	664	83	0	1	664	1	664	0.0e+00	1279.2	11.3974084772361	22.0025326874795	6.93311318860221e-11
SRR11927462|k99_22599_9	WP_330640401.1	84.5	567	88	0	1	567	1	567	3.9e-290	996.1	8.08037377323576	21.6184234977807	7.44825060146491e-11
SRR11927461|k99_9411_96	GH2.SET94562.1	74.3	1019	262	0	1	1019	1	1019	0.0e+00	1633.2	24.7202802370657	-23.8586074710714	7.88731931146712e-11
SRR11927460|k99_5189_18	GH123.QRV19335.1	69.4	552	169	0	1	552	1	552	3.0e-234	810.4	14.1613889707475	-23.2627736042517	8.53734233523615e-11
SRR11927460|k99_2647_6	GH95.WMJ86583.1	85.4	766	112	0	2	767	3	768	0.0e+00	1395.6	13.9811699778694	-23.2262272381942	8.69028114312178e-11
SRR11927462|k99_7435_1	GH36.AEE97182.1	42.4	531	300	4	54	581	81	608	9.3e-130	463.4	9.06233741044074	21.6550263659915	9.3996395261307e-11
SRR11927462|k99_1467_2	GH42.UOX58106.1	60.0	672	260	3	6	675	10	674	4.3e-259	893.3	8.61115124988778	21.5607990817216	1.28783415557775e-10
SRR11927462|k99_6304_3	GH2.AUS95659.1	65.5	568	194	2	1	568	238	803	1.4e-234	811.6	9.35994581559948	21.59958992587	1.44880685305977e-10
SRR11927462|k99_28965_1	GH29.UWP24576.1	68.7	489	151	2	1	488	1	488	1.8e-219	761.1	7.869644936028	21.3896968403034	1.62506195949185e-10
SRR11927445|k99_1702_10	GH2.BCJ95530.1	40.9	1075	520	13	36	1009	69	1129	2.0e-252	871.7	27.7061785036325	-23.6398649220142	2.36589848433094e-10
SRR11927453|k119_514_10	GH2.BCJ95530.1	40.9	1075	520	13	36	1009	69	1129	2.0e-252	871.7	27.2599252029448	-23.605957557547	2.55912434846342e-10
SRR11927452|k99_1480_1	GH2.SEH92831.1	47.9	769	378	12	5	759	27	786	1.1e-200	699.5	9.58911530973181	-22.6471971221351	2.69493586178588e-10
SRR11927455|k99_9767_21	GH31.WAJ23728.1	99.8	808	2	0	1	808	1	808	0.0e+00	1729.1	18.5320123169841	-23.1179212491578	2.77386507328188e-10
SRR11927461|k99_344_10	GH2.BCJ95530.1	40.9	1075	520	13	36	1009	69	1129	2.0e-252	871.7	26.7541826689931	-23.5349414666411	2.82266685771562e-10
SRR11927453|k119_1534_12	GH2.SET68766.1	80.0	1008	200	1	1	1008	1	1006	0.0e+00	1739.2	18.7139958459537	-23.124783065227	3.13387246704448e-10
SRR11927457|k99_6238_2	GH2.SET68766.1	80.0	1008	200	1	1	1008	1	1006	0.0e+00	1739.2	20.114836001613	-23.1851982504089	3.21467271362386e-10
SRR11927445|k99_1589_29	GH2.SET68766.1	80.0	1008	200	1	1	1008	1	1006	0.0e+00	1739.2	18.9874055476145	-23.0889219830487	3.23206552766875e-10
SRR11927455|k99_7430_15	GH42.WAJ24927.1	99.1	676	6	0	26	701	1	676	0.0e+00	1421.0	16.4361936293156	-22.9707628578488	3.37623009166488e-10
SRR11927461|k99_2543_29	GH31.WAJ23728.1	99.5	808	4	0	1	808	1	808	0.0e+00	1721.1	22.0259255590093	-23.2817414851263	3.38605983618542e-10
SRR11927461|k99_509_42	GH36.AII74158.1	41.8	641	363	6	49	683	49	685	2.8e-152	538.5	15.8559132482836	-22.9459860433043	3.43288995334594e-10
SRR11927455|k99_2628_13	GH3.UVR10884.1	45.8	559	272	4	7	552	29	569	1.2e-136	486.5	15.1151937654513	-22.8872160395531	3.43402850978516e-10
SRR11927461|k99_5992_41	WP_176253724.1	43.3	499	251	9	20	512	2	474	1.1e-97	356.7	15.5741674529878	-22.9021760843661	3.50489663314187e-10
SRR11927455|k99_11318_2	GH36.AVM41756.1	51.6	715	342	2	1	712	1	714	1.8e-223	775.0	18.59667150236	-23.1112469541462	3.55117637321116e-10
SRR11927461|k99_4197_202	GH3.UVR10884.1	45.8	559	272	4	7	552	29	569	1.2e-136	486.5	15.4531255228188	-22.8979774554845	3.58887343531573e-10
SRR11927445|k99_2355_85	GH31.WAJ23728.1	99.5	808	4	0	1	808	1	808	0.0e+00	1721.1	21.9983216502973	-23.2561328661511	3.60621751937363e-10
SRR11927435|k99_3107_2	GH42.BBF45276.1	69.7	671	197	3	1	669	1	667	1.9e-296	1017.3	9.26916437084906	22.2872708783823	3.61796678212913e-10
SRR11927445|k99_1633_67	GH95.WAJ22571.1	99.4	711	4	0	1	711	1	711	0.0e+00	1497.3	14.5603618641553	-22.7963688775219	3.75129358518907e-10
SRR11927445|k99_2355_45	GH36.QEI32555.1	58.3	741	300	2	1	734	1	739	2.1e-267	921.0	21.6243830938125	-23.2384370687448	3.75735243506937e-10
SRR11927461|k99_10068_15	GH42.WAJ24927.1	99.1	676	6	0	26	701	1	676	0.0e+00	1421.0	15.8191695200101	-22.8819510838238	3.75914614705068e-10
SRR11927445|k99_256_40	WP_176253724.1	43.3	499	251	9	20	512	2	474	1.1e-97	356.7	13.9957015450382	-22.7537258673377	3.76402863473632e-10
SRR11927455|k99_6640_11	GH2.SET68766.1	80.0	1008	200	1	1	1008	1	1006	0.0e+00	1739.2	18.7448867767748	-23.0020516396771	3.77887949690104e-10
SRR11927445|k99_1314_15	GH42.WAJ24927.1	99.1	676	6	0	26	701	1	676	0.0e+00	1421.0	16.0884104724882	-22.8853467893019	3.80718940627665e-10
SRR11927445|k99_2272_39	GH36.AII74158.1	41.8	641	363	6	49	683	49	685	2.8e-152	538.5	14.60712236182	-22.7880949047774	3.85892933272061e-10
SRR11927445|k99_705_73	GH3.UVR10884.1	45.8	559	272	4	7	552	29	569	1.2e-136	486.5	14.9272263785323	-22.8087786477597	3.8889298537091e-10
SRR11927453|k119_3028_11	GH95.WAJ22571.1	99.4	711	4	0	1	711	1	711	0.0e+00	1497.3	14.9039748725193	-22.7782214814688	3.89075260002999e-10
SRR11927453|k119_3118_27	GH36.AII74158.1	41.8	641	363	6	49	683	49	685	2.8e-152	538.5	15.9942486889599	-22.8229560739957	3.90161696074029e-10
SRR11927453|k119_5058_12	GH3.UVR10884.1	45.8	559	272	4	7	552	29	569	1.2e-136	486.5	14.6809146301417	-22.7800286298383	3.93523741664922e-10
SRR11927453|k119_4428_2	GH36.QEI32555.1	58.3	741	300	2	1	734	1	739	2.1e-267	921.0	22.9523239144558	-23.2530587936094	3.9551032282328e-10
SRR11927455|k99_6838_10	WP_176253724.1	43.3	499	251	9	20	512	2	474	1.1e-97	356.7	14.2314936055337	-22.726753525455	3.97753077795036e-10
SRR11927445|k99_736_7	GH31.WAJ24905.1	99.1	665	6	0	1	665	1	665	0.0e+00	1406.0	17.4337267876079	-22.9621387758174	3.9816214054729e-10
SRR11927461|k99_9520_22	GH95.WAJ22571.1	99.4	711	4	0	1	711	1	711	0.0e+00	1497.3	13.1769936094145	-22.660299737999	4.00032074838766e-10
SRR11927455|k99_3707_12	GH95.WAJ22571.1	99.4	711	4	0	1	711	1	711	0.0e+00	1497.3	13.4769860020335	-22.6797979952974	4.0181299741092e-10
SRR11927461|k99_7897_3	GH36.AVM41756.1	51.6	715	342	2	1	712	1	714	1.8e-223	775.0	17.0701613955515	-22.946197002809	4.0181299741092e-10
SRR11927453|k119_6669_16	WP_176253724.1	43.3	499	251	9	20	512	2	474	1.1e-97	356.7	13.6679478357013	-22.6433543401732	4.02540176513135e-10
SRR11927461|k99_3504_45	GH31.WAJ24905.1	99.1	665	6	0	1	665	1	665	0.0e+00	1406.0	16.9222357997547	-22.9175879945611	4.14286650218104e-10
SRR11927445|k99_478_8	GH2.AJG98227.1	42.6	610	308	13	7	596	2	589	9.0e-136	483.4	11.9979915693836	-22.5271424862169	4.22439757312536e-10
SRR11927453|k119_3135_8	GH2.AJG98227.1	42.6	610	308	13	7	596	2	589	9.0e-136	483.4	12.2626545118978	-22.5355997954617	4.37232543764861e-10
SRR11927445|k99_1857_3	WP_268114394.1	99.5	601	3	0	1	601	1	601	0.0e+00	1251.9	14.2160565161539	-22.7094481400779	4.58960788183865e-10
SRR11927435|k99_38878_1	GH3.UVR10884.1	40.9	511	243	6	1	500	108	570	1.2e-104	380.2	7.36624997933063	21.955657782938	4.79882401993906e-10
SRR11927445|k99_3075_3	GH2.SET94562.1	74.3	1019	262	0	1	1019	1	1019	0.0e+00	1630.9	19.6051363230745	-22.8842092304966	4.8284199336861e-10
SRR11927461|k99_2511_119	WP_184093583.1	43.1	483	221	13	17	493	25	459	1.4e-94	346.3	13.9855644008473	-22.6591934545103	4.92637379961975e-10
SRR11927453|k119_596_1	WP_184093583.1	43.1	483	221	13	17	493	25	459	1.4e-94	346.3	15.6622370393483	-22.7607390785416	5.27198581597927e-10
SRR11927448|k99_7054_2	WP_083535713.1	43.0	776	392	18	215	976	27	766	9.4e-167	587.0	31.9905157923935	17.9675517171993	5.35130586203152e-10
SRR11927453|k119_9600_2	GH2.SET94562.1	74.3	1019	262	0	1	1019	1	1019	0.0e+00	1630.9	20.2110155355963	-22.8055455780582	5.43266646624645e-10
SRR11927453|k119_304_4	WP_268114394.1	99.5	601	3	0	1	601	1	601	0.0e+00	1251.9	13.2649483624035	-22.5351594496108	5.59656771379441e-10
SRR11927445|k99_332_118	WP_184093583.1	43.1	483	221	13	17	493	25	459	1.4e-94	346.3	15.2838786757973	-22.6290418432022	6.29860182546943e-10
SRR11927453|k119_9110_1	GH42.WAJ24927.1	99.1	676	6	0	26	701	1	676	0.0e+00	1421.0	16.0817624628011	-22.4395195840194	6.61784824156251e-10
SRR11927448|k99_2841_5	GH2.QUT69940.1	70.1	1117	328	3	4	1115	8	1123	0.0e+00	1671.8	30.5700714792442	17.663813636059	7.31521596233714e-10
SRR11927453|k119_2295_8	WP_459833546.1	56.3	373	159	1	55	427	28	396	1.3e-120	432.6	10.2285655342336	-22.1825251835247	7.49116004920469e-10
SRR11927435|k99_10641_1	GH2.CBL02867.1	59.3	902	326	5	6	901	29	895	0.0e+00	1118.2	10.5069730718712	22.8710506186589	2.11493118760988e-09
SRR11927435|k99_15087_3	GH2.WP_055167711.1	59.8	776	257	6	3	773	8	733	6.1e-270	929.5	9.80806960730869	22.8433197400705	2.15431530967931e-09
SRR11927435|k99_38391_3	GH95.UGU17702.1	56.4	753	313	6	27	766	27	777	9.2e-261	899.0	10.0911042668103	22.8163996646672	2.3750266890017e-09
SRR11927437|k99_10697_2	GH20.XJR74501.1	54.7	707	315	4	3	708	18	720	5.5e-233	806.6	9.62749938651364	22.7376338574257	2.78373636792955e-09
SRR11927449|k99_11336_5	GH95.AZQ64685.1	51.6	754	359	5	24	776	306	1054	1.5e-239	828.6	22.8488547167438	17.1091791829514	3.36141075335525e-09
SRR11927462|k99_378_8	GH36.AXM89529.1	49.2	733	361	5	2	728	3	730	1.0e-210	732.6	24.4612486862501	8.91062481554759	1.30185799363419e-08
SRR11927449|k99_11706_2	WP_083535713.1	43.5	774	389	18	215	974	27	766	5.9e-169	594.3	30.2212477600553	15.394523486455	8.18140110531563e-07
SRR11927449|k99_12363_4	GH89.UHZ88335.1	64.3	715	252	2	2	713	4	718	1.0e-295	1015.0	22.5450367688729	16.0050598777355	1.44805501365183e-06
SRR11927449|k99_9673_2	GH20.QIL41543.1	49.2	744	348	7	28	765	57	776	7.8e-209	726.5	23.5912745680802	15.3191769087959	6.16502040661708e-06
SRR11927450|k99_7289_2	GH89.UHZ88335.1	64.1	715	254	2	2	713	4	718	3.3e-294	1010.0	20.4555764934375	14.931028378658	9.99949313756271e-06
SRR11927444|k99_7534_1	GH36.AXM89529.1	48.2	708	363	3	10	716	12	716	2.7e-195	681.4	10.7033660944643	16.1219775162607	1.02085960361117e-05
SRR11927462|k99_3572_3	WP_242965037.1	48.2	384	195	3	1	381	1	383	2.0e-96	352.1	9.10267807285513	7.50327499223869	1.49462784976445e-05
SRR11927435|k99_10025_1	GH2.CBL24817.1	74.7	764	187	2	3	765	2	760	0.0e+00	1210.3	12.4810979870942	7.95226349792651	2.30982038937254e-05
SRR11927462|k99_24223_4	WP_186877459.1	57.6	453	188	3	1	452	1	450	1.4e-133	475.7	10.8576630908593	7.82750778639246	2.31823260167612e-05
SRR11927435|k99_31199_4	GH36.AHV95704.1	45.3	758	384	4	1	755	1	730	6.5e-200	696.8	10.4925831550699	7.61843292443731	2.79208529504132e-05
SRR11927444|k99_3723_14	GH3.UVR10884.1	42.6	549	288	7	2	537	27	561	8.3e-120	430.6	9.29910191944284	15.2638553988641	3.0390495564288e-05
SRR11927444|k99_14602_3	GH36.QDW75218.1	58.3	731	303	2	11	740	12	741	5.3e-255	879.8	9.78676921757822	14.3293021502032	0.000102272754398424
SRR11927439|k99_27753_2	WP_242965037.1	48.1	285	146	2	1	284	100	383	1.4e-73	275.8	6.51002163285933	7.042118399835	0.000121122022405358
SRR11927435|k99_6399_4	GH2.QBE97789.1	68.8	826	239	4	1	810	15	837	0.0e+00	1237.2	11.1990943873055	7.72530782280957	0.000132831700456563
SRR11927438|k99_10850_2	WP_186877459.1	57.8	453	187	3	1	452	1	450	1.3e-134	479.2	7.52205515547941	7.20594533650155	0.000162520291761815
SRR11927435|k99_11781_2	GH42.WNR42900.1	46.5	647	321	8	1	626	1	643	1.3e-180	632.5	10.6020928693195	7.81768862077041	0.000169029904946369
SRR11927462|k99_4177_4	WP_251317632.1	76.2	240	56	1	78	317	70	308	1.3e-104	379.0	9.72090691744033	7.64284607983627	0.000221039455756006
SRR11927462|k99_7277_2	GH42.QJU13356.1	50.1	668	329	3	3	667	2	668	1.0e-204	712.6	13.3408860742854	8.1749434984493	0.000258895203804725
SRR11927444|k99_7839_4	GH42.WOC31724.1	50.4	671	329	4	1	668	1	670	1.9e-206	718.4	9.21632327909568	14.2883962892441	0.000405584617244292
SRR11927435|k99_26677_2	GH129.XKQ18713.1	72.1	606	168	1	1	605	22	627	2.9e-286	983.4	10.3384238596221	7.58178889127749	0.000672945919382107
SRR11927462|k99_20283_1	GH2.QLG40518.1	49.4	670	332	3	26	688	33	702	3.4e-203	707.6	12.898923914182	7.85194729172481	0.000703207186110876
SRR11927462|k99_25437_1	WP_251318773.1	78.5	413	89	0	5	417	2	414	1.8e-98	359.0	9.42549692827716	7.58721861406251	0.00071245991618476
