MAG_protein	Sialic_hit	Identity	Alignment_length	Query_length	Subject_length	Query_cov	Subject_cov	Evalue	Bitscore	Condition	Bin	Taxonomy
CDIpos_DASTool_bins_SemiBin_9_sub|k141_51032_3	nanU|nanU_592890_bv	99.6	484	485	484	99.8	100.0	3.2e-286	985.7	CDIpos	SemiBin_9_sub	Bacteroides salyersiae
CDIpos_DASTool_bins_SemiBin_9_sub|k141_125427_2	nanU|nanU_140524_bv	49.4	522	516	516	97.5	99.0	3.2e-127	457.6	CDIpos	SemiBin_9_sub	Bacteroides salyersiae
CDIpos_DASTool_bins_bin.71|k141_41686_4	nanU|nanU_79795_bv	60.7	535	536	532	99.6	99.4	1.8e-181	637.9	CDIpos	bin.71	Parabacteroides distasonis
CDIpos_DASTool_bins_SemiBin_49|k141_116648_9	nanU|nanU_628889_bv	99.8	527	540	527	97.6	100.0	9.5e-313	1073.9	CDIpos	SemiBin_49	Phocaeicola vulgatus
CDIpos_DASTool_bins_SemiBin_49|k141_9822_5	nagA|nagA_2756_bv	100.0	387	388	387	99.7	100.0	9.6e-225	781.2	CDIpos	SemiBin_49	Phocaeicola vulgatus
CDIpos_DASTool_bins_SemiBin_49|k141_29233_17	nanU|nanU_71571_bv	44.1	675	670	664	99.6	99.7	6.7e-157	556.6	CDIpos	SemiBin_49	Phocaeicola vulgatus
CDIpos_DASTool_bins_SemiBin_49|k141_107464_31	nanU|nanU_298447_bv	98.2	544	545	544	99.8	100.0	0.0e+00	1124.4	CDIpos	SemiBin_49	Phocaeicola vulgatus
CDIpos_DASTool_bins_SemiBin_49|k141_146602_5	nanU|nanU_318479_bv	71.4	511	566	517	88.9	98.8	2.6e-226	786.9	CDIpos	SemiBin_49	Phocaeicola vulgatus
CDIpos_DASTool_bins_SemiBin_49|k141_88759_7	nanU|nanU_256107_bv	40.8	576	566	549	98.8	99.8	5.2e-102	374.0	CDIpos	SemiBin_49	Phocaeicola vulgatus
CDIpos_DASTool_bins_SemiBin_49|k141_88759_30	nanU|nanU_230315_bv	100.0	510	514	527	99.2	96.8	8.3e-309	1060.8	CDIpos	SemiBin_49	Phocaeicola vulgatus
CDIpos_DASTool_bins_SemiBin_49|k141_137758_5	nanU|nanU_412311_bv	99.6	543	547	545	99.3	99.6	0.0e+00	1125.5	CDIpos	SemiBin_49	Phocaeicola vulgatus
CDIpos_DASTool_bins_SemiBin_49|k141_50207_18	nanU|nanU_69728_bv	99.2	516	517	516	99.8	100.0	5.1e-306	1051.6	CDIpos	SemiBin_49	Phocaeicola vulgatus
CDIpos_DASTool_bins_SemiBin_49|k141_146979_21	satD|WP_445507519.1	40.1	217	248	270	85.5	80.0	1.6e-26	122.1	CDIpos	SemiBin_49	Phocaeicola vulgatus
CDIpos_DASTool_bins_SemiBin_49|k141_80043_5	nanK|nanK_7216_bv	41.7	309	324	311	94.4	96.5	4.0e-59	230.7	CDIpos	SemiBin_49	Phocaeicola vulgatus
CDIpos_DASTool_bins_SemiBin_49|k141_80043_27	nanU|nanU_601173_bv	99.3	562	563	573	99.8	98.1	0.0e+00	1151.3	CDIpos	SemiBin_49	Phocaeicola vulgatus
CDIpos_DASTool_bins_SemiBin_49|k141_91101_10	nanU|nanU_317574_bv	100.0	511	512	516	99.8	99.0	1.1e-308	1060.4	CDIpos	SemiBin_49	Phocaeicola vulgatus
CDIpos_DASTool_bins_SemiBin_49|k141_110636_48	nanU|nanU_572409_bv	43.5	462	529	591	86.6	76.6	2.6e-100	368.2	CDIpos	SemiBin_49	Phocaeicola vulgatus
CDIpos_DASTool_bins_SemiBin_49|k141_101076_14	satD|MCK3658593.1	41.0	195	225	268	84.9	71.6	1.2e-25	119.0	CDIpos	SemiBin_49	Phocaeicola vulgatus
CDIpos_DASTool_bins_SemiBin_49|k141_71890_11	nanU|nanU_574902_bv	99.8	500	501	501	99.8	99.8	5.8e-299	1028.1	CDIpos	SemiBin_49	Phocaeicola vulgatus
CDIpos_DASTool_bins_SemiBin_49|k141_71890_18	nanM|nanM_3259_bv	42.4	363	408	352	89.0	98.6	2.6e-71	271.6	CDIpos	SemiBin_49	Phocaeicola vulgatus
CDIpos_DASTool_bins_SemiBin_49|k141_83123_9	nagB|nagB_74529_bv	99.6	263	264	263	99.6	100.0	1.3e-151	537.7	CDIpos	SemiBin_49	Phocaeicola vulgatus
CDIpos_DASTool_bins_SemiBin_49|k141_34795_2	nanU|nanU_497957_bv	75.9	486	497	486	97.8	99.8	1.1e-220	768.1	CDIpos	SemiBin_49	Phocaeicola vulgatus
CDIpos_DASTool_bins_SemiBin_49|k141_150351_30	SIAE|SIAE_19013_uniprot	98.9	357	504	360	70.8	99.2	1.6e-208	727.6	CDIpos	SemiBin_49	Phocaeicola vulgatus
CDIpos_DASTool_bins_SemiBin_49|k141_29107_1	nanU|nanU_311719_bv	55.9	494	492	489	99.8	99.6	2.4e-156	554.3	CDIpos	SemiBin_49	Phocaeicola vulgatus
CDIpos_DASTool_bins_SemiBin_49|k141_154464_2	nanU|nanU_194521_bv	99.8	517	518	517	99.8	100.0	3.6e-312	1072.0	CDIpos	SemiBin_49	Phocaeicola vulgatus
control_DASTool_bins_SemiBin_185|k141_97862_2	nanU|nanU_500862_bv	41.0	522	527	529	96.4	96.8	1.4e-96	355.9	control	SemiBin_185	Parabacteroides distasonis
control_DASTool_bins_SemiBin_185|k141_174884_44	nanU|nanU_645800_bv	99.6	531	532	534	99.8	99.4	0.0e+00	1076.6	control	SemiBin_185	Parabacteroides distasonis
control_DASTool_bins_SemiBin_185|k141_256763_83	nanU|nanU_481889_bv	100.0	548	549	549	99.8	99.8	0.0e+00	1110.1	control	SemiBin_185	Parabacteroides distasonis
control_DASTool_bins_SemiBin_113|k141_253097_2	nanH|nanH_4619_bv	99.8	433	552	433	78.4	100.0	1.7e-262	907.1	control	SemiBin_113	Phocaeicola massiliensis
control_DASTool_bins_bin.115|k141_62204_8	nanU|nanU_563802_bv	96.4	525	526	525	99.8	100.0	0.0e+00	1077.8	control	bin.115	Bacteroides uniformis
control_DASTool_bins_bin.115|k141_252953_20	nanU|nanU_142022_bv	42.8	491	498	484	97.8	98.6	2.3e-101	371.7	control	bin.115	Bacteroides uniformis
diarrheaCDIneg_DASTool_bins_bin.6|k141_49656_30	nanK|nanK_7216_bv	41.7	309	324	311	94.4	96.5	5.3e-59	230.3	diarrheaCDIneg	bin.6	Phocaeicola dorei
diarrheaCDIneg_DASTool_bins_SemiBin_28|k141_47025_16	nanK|nanK_30939_bv	98.3	234	295	234	79.3	100.0	9.5e-132	471.9	diarrheaCDIneg	SemiBin_28	Enterococcus_B faecium
diarrheaCDIneg_DASTool_bins_SemiBin_28|k141_13021_6	nagA|nagA_88277_bv	100.0	382	383	382	99.7	100.0	4.3e-225	782.3	diarrheaCDIneg	SemiBin_28	Enterococcus_B faecium
diarrheaCDIneg_DASTool_bins_SemiBin_28|k141_9293_37	nanK|nanK_1618_bv	40.0	315	321	309	97.5	98.4	9.3e-48	193.0	diarrheaCDIneg	SemiBin_28	Enterococcus_B faecium
diarrheaCDIneg_DASTool_bins_SemiBin_28|k141_17672_4	satD|WP_069102428.1	50.0	234	297	274	77.8	85.0	7.5e-60	233.0	diarrheaCDIneg	SemiBin_28	Enterococcus_B faecium
diarrheaCDIneg_DASTool_bins_SemiBin_28|k141_1019_22	nanE|nanE_26011_bv	100.0	227	228	243	99.6	93.4	2.0e-121	437.2	diarrheaCDIneg	SemiBin_28	Enterococcus_B faecium
diarrheaCDIneg_DASTool_bins_SemiBin_28|k141_47611_45	nagB|nagB_190441_bv	100.0	233	234	254	99.6	91.7	3.9e-128	459.5	diarrheaCDIneg	SemiBin_28	Enterococcus_B faecium
diarrheaCDIneg_DASTool_bins_SemiBin_28|k141_31145_32	siaT|siaT_43096_uniprot	100.0	431	432	431	99.8	100.0	2.3e-219	763.5	diarrheaCDIneg	SemiBin_28	Enterococcus_B faecium
diarrheaCDIneg_DASTool_bins_SemiBin_28|k141_31145_33	siaQ|siaQ_327815_bv	54.5	154	160	162	95.6	93.8	3.1e-36	153.7	diarrheaCDIneg	SemiBin_28	Enterococcus_B faecium
diarrheaCDIneg_DASTool_bins_SemiBin_28|k141_13845_30	satD|WP_227924124.1	44.6	258	315	271	81.9	94.8	3.2e-61	237.7	diarrheaCDIneg	SemiBin_28	Enterococcus_B faecium
diarrheaCDIneg_DASTool_bins_SemiBin_28|k141_14110_4	kpsM|kpsM_209_bv	42.5	266	269	277	96.3	96.0	4.4e-59	230.3	diarrheaCDIneg	SemiBin_28	Enterococcus_B faecium
diarrheaCDIneg_DASTool_bins_SemiBin_28|k141_57669_6	satD|MBW4095910.1	45.1	257	318	266	79.2	95.9	2.0e-58	228.4	diarrheaCDIneg	SemiBin_28	Enterococcus_B faecium
diarrheaCDIneg_DASTool_bins_SemiBin_28|k141_36726_5	satD|WP_436072170.1	40.5	262	358	275	70.7	95.3	5.1e-39	164.1	diarrheaCDIneg	SemiBin_28	Enterococcus_B faecium
diarrheaCDIneg_DASTool_bins_SemiBin_30|k141_63679_28	kpsD|kpsD_12805_bv	100.0	558	559	559	99.8	99.8	0.0e+00	1082.8	diarrheaCDIneg	SemiBin_30	Escherichia coli
diarrheaCDIneg_DASTool_bins_SemiBin_70|k141_34635_42	siaM|siaM_10307_bv	100.0	436	439	436	99.3	100.0	1.7e-233	810.4	diarrheaCDIneg	SemiBin_70	Pyramidobacter piscolens
diarrheaCDIneg_DASTool_bins_SemiBin_70|k141_35143_4	siaM|siaM_124661_bv	100.0	426	427	426	99.8	100.0	1.2e-228	794.3	diarrheaCDIneg	SemiBin_70	Pyramidobacter piscolens
diarrheaCDIneg_DASTool_bins_SemiBin_70|k141_14054_1	satB|WP_263079827.1	57.0	309	310	308	99.7	100.0	7.5e-95	349.4	diarrheaCDIneg	SemiBin_70	Pyramidobacter piscolens
diarrheaCDIneg_DASTool_bins_SemiBin_70|k141_14054_106	satB|MCS6825930.1	40.2	311	325	314	95.7	97.1	3.2e-56	221.1	diarrheaCDIneg	SemiBin_70	Pyramidobacter piscolens
diarrheaCDIneg_DASTool_bins_SemiBin_70|k141_36368_4	siaP|siaP_225879_bv	47.2	362	369	361	97.3	99.4	4.6e-91	337.0	diarrheaCDIneg	SemiBin_70	Pyramidobacter piscolens
diarrheaCDIneg_DASTool_bins_SemiBin_70|k141_63269_74	siaT|siaT_47535_uniprot	52.0	425	429	428	98.1	99.3	7.1e-104	379.8	diarrheaCDIneg	SemiBin_70	Pyramidobacter piscolens
diarrheaCDIneg_DASTool_bins_SemiBin_60|k141_1011_641	siaM|siaM_403770_bv	100.0	433	434	433	99.8	100.0	8.8e-227	788.1	diarrheaCDIneg	SemiBin_60	Enterocloster bolteae
