MAG_protein	Sialic_hit	Identity	Alignment_length	Query_length	Subject_length	Query_cov	Subject_cov	Evalue	Bitscore	Condition	Bin	Taxonomy
CDIpos_DASTool_bins_bin.2|k141_138055_38	nanK|nanK_717_bv	100.0	291	292	291	99.7	100.0	3.4e-158	559.7	CDIpos	bin.2	Escherichia coli
CDIpos_DASTool_bins_bin.2|k141_138055_39	nanE|nanE_8421_bv	100.0	229	230	261	99.6	87.7	8.8e-125	448.4	CDIpos	bin.2	Escherichia coli
CDIpos_DASTool_bins_bin.2|k141_138055_41	nanA|nanA_5472_bv	100.0	297	298	308	99.7	96.4	5.4e-167	589.0	CDIpos	bin.2	Escherichia coli
CDIpos_DASTool_bins_bin.2|k141_138055_42	nanR|nanR_8_bv	100.0	263	264	263	99.6	100.0	4.1e-126	453.0	CDIpos	bin.2	Escherichia coli
CDIpos_DASTool_bins_bin.2|k141_41201_26	siaT|siaT_19174_uniprot	90.6	425	426	425	99.8	100.0	3.2e-205	716.5	CDIpos	bin.2	Escherichia coli
CDIpos_DASTool_bins_bin.2|k141_90233_8	satB|MFN4189717.1	43.8	324	341	305	95.0	96.4	1.8e-65	251.9	CDIpos	bin.2	Escherichia coli
CDIpos_DASTool_bins_bin.2|k141_90233_11	satD|WP_022922052.1	47.9	257	309	276	79.3	92.8	2.5e-58	228.0	CDIpos	bin.2	Escherichia coli
CDIpos_DASTool_bins_bin.2|k141_140806_6	satD|WP_249736668.1	40.2	229	251	269	89.2	82.5	2.5e-32	141.4	CDIpos	bin.2	Escherichia coli
CDIpos_DASTool_bins_bin.2|k141_140806_51	ompF|ompF_6607_bv	100.0	371	372	381	99.7	97.4	3.2e-217	756.1	CDIpos	bin.2	Escherichia coli
CDIpos_DASTool_bins_bin.2|k141_33883_86	ompF|ompF_6268_bv	65.9	361	352	360	99.7	100.0	3.8e-135	483.4	CDIpos	bin.2	Escherichia coli
CDIpos_DASTool_bins_bin.2|k141_44186_6	satD|WP_207616619.1	45.1	268	335	271	80.0	98.9	3.7e-63	244.2	CDIpos	bin.2	Escherichia coli
CDIpos_DASTool_bins_bin.2|k141_76266_10	satD|WP_121660542.1	40.2	219	229	264	89.5	81.1	4.6e-25	117.1	CDIpos	bin.2	Escherichia coli
CDIpos_DASTool_bins_SemiBin_22_sub|k141_68099_21	satD|WP_210229862.1	42.4	264	315	275	80.6	94.5	3.0e-59	231.1	CDIpos	SemiBin_22_sub	Eisenbergiella tayi
CDIpos_DASTool_bins_SemiBin_9_sub|k141_107608_6	nanU|nanU_554903_bv	53.7	534	537	545	97.4	97.2	1.3e-166	588.6	CDIpos	SemiBin_9_sub	Bacteroides salyersiae
CDIpos_DASTool_bins_SemiBin_9_sub|k141_51032_3	nanU|nanU_592890_bv	99.6	484	485	484	99.8	100.0	3.2e-286	985.7	CDIpos	SemiBin_9_sub	Bacteroides salyersiae
CDIpos_DASTool_bins_SemiBin_9_sub|k141_125427_2	nanU|nanU_140524_bv	49.4	522	516	516	97.5	99.0	3.2e-127	457.6	CDIpos	SemiBin_9_sub	Bacteroides salyersiae
CDIpos_DASTool_bins_SemiBin_103|k141_144104_10	kpsD|kpsD_12100_bv	53.2	849	850	832	99.9	99.9	2.6e-259	897.1	CDIpos	SemiBin_103	Bacteroides hominis
CDIpos_DASTool_bins_bin.71|k141_136117_3	nanU|nanU_305779_bv	60.5	598	600	593	99.7	100.0	1.4e-214	748.0	CDIpos	bin.71	Parabacteroides distasonis
CDIpos_DASTool_bins_bin.71|k141_77887_3	nanU|nanU_183841_bv	100.0	503	504	516	99.8	97.5	6.7e-295	1014.6	CDIpos	bin.71	Parabacteroides distasonis
CDIpos_DASTool_bins_bin.71|k141_78823_12	nanU|nanU_291680_bv	42.6	493	495	488	99.0	98.2	1.2e-115	419.1	CDIpos	bin.71	Parabacteroides distasonis
CDIpos_DASTool_bins_bin.71|k141_128636_8	nanU|nanU_525511_bv	52.8	561	556	560	98.9	96.4	9.4e-165	582.4	CDIpos	bin.71	Parabacteroides distasonis
CDIpos_DASTool_bins_bin.71|k141_92792_5	nanQ|nanQ_634_uniprot	100.0	149	150	149	99.3	100.0	3.2e-83	309.7	CDIpos	bin.71	Parabacteroides distasonis
CDIpos_DASTool_bins_bin.71|k141_75032_1	nanH|nanH_15173_bv	99.7	394	541	394	72.8	100.0	4.9e-235	815.8	CDIpos	bin.71	Parabacteroides distasonis
CDIpos_DASTool_bins_SemiBin_48_sub|k141_40852_5	satD|WP_311358684.1	48.7	238	323	275	73.7	85.5	1.3e-57	225.7	CDIpos	SemiBin_48_sub	Enterocloster bolteae
CDIpos_DASTool_bins_SemiBin_49|k141_116648_9	nanU|nanU_628889_bv	99.8	527	540	527	97.6	100.0	9.5e-313	1073.9	CDIpos	SemiBin_49	Phocaeicola vulgatus
CDIpos_DASTool_bins_SemiBin_49|k141_9822_5	nagA|nagA_2756_bv	100.0	387	388	387	99.7	100.0	9.6e-225	781.2	CDIpos	SemiBin_49	Phocaeicola vulgatus
CDIpos_DASTool_bins_SemiBin_49|k141_29233_17	nanU|nanU_71571_bv	44.1	675	670	664	99.6	99.7	6.7e-157	556.6	CDIpos	SemiBin_49	Phocaeicola vulgatus
CDIpos_DASTool_bins_SemiBin_49|k141_107464_31	nanU|nanU_298447_bv	98.2	544	545	544	99.8	100.0	0.0e+00	1124.4	CDIpos	SemiBin_49	Phocaeicola vulgatus
CDIpos_DASTool_bins_SemiBin_49|k141_146602_5	nanU|nanU_318479_bv	71.4	511	566	517	88.9	98.8	2.6e-226	786.9	CDIpos	SemiBin_49	Phocaeicola vulgatus
CDIpos_DASTool_bins_SemiBin_49|k141_88759_7	nanU|nanU_256107_bv	40.8	576	566	549	98.8	99.8	5.2e-102	374.0	CDIpos	SemiBin_49	Phocaeicola vulgatus
CDIpos_DASTool_bins_SemiBin_49|k141_88759_30	nanU|nanU_230315_bv	100.0	510	514	527	99.2	96.8	8.3e-309	1060.8	CDIpos	SemiBin_49	Phocaeicola vulgatus
CDIpos_DASTool_bins_SemiBin_49|k141_50207_18	nanU|nanU_69728_bv	99.2	516	517	516	99.8	100.0	5.1e-306	1051.6	CDIpos	SemiBin_49	Phocaeicola vulgatus
CDIpos_DASTool_bins_SemiBin_49|k141_146979_21	satD|WP_445507519.1	40.1	217	248	270	85.5	80.0	1.6e-26	122.1	CDIpos	SemiBin_49	Phocaeicola vulgatus
CDIpos_DASTool_bins_SemiBin_49|k141_80043_5	nanK|nanK_7216_bv	41.7	309	324	311	94.4	96.5	4.0e-59	230.7	CDIpos	SemiBin_49	Phocaeicola vulgatus
CDIpos_DASTool_bins_SemiBin_49|k141_80043_27	nanU|nanU_601173_bv	99.3	562	563	573	99.8	98.1	0.0e+00	1151.3	CDIpos	SemiBin_49	Phocaeicola vulgatus
CDIpos_DASTool_bins_SemiBin_49|k141_91101_10	nanU|nanU_317574_bv	100.0	511	512	516	99.8	99.0	1.1e-308	1060.4	CDIpos	SemiBin_49	Phocaeicola vulgatus
CDIpos_DASTool_bins_SemiBin_49|k141_110636_48	nanU|nanU_572409_bv	43.5	462	529	591	86.6	76.6	2.6e-100	368.2	CDIpos	SemiBin_49	Phocaeicola vulgatus
CDIpos_DASTool_bins_SemiBin_49|k141_71890_11	nanU|nanU_574902_bv	99.8	500	501	501	99.8	99.8	5.8e-299	1028.1	CDIpos	SemiBin_49	Phocaeicola vulgatus
CDIpos_DASTool_bins_SemiBin_49|k141_83123_9	nagB|nagB_74529_bv	99.6	263	264	263	99.6	100.0	1.3e-151	537.7	CDIpos	SemiBin_49	Phocaeicola vulgatus
CDIpos_DASTool_bins_SemiBin_49|k141_34795_2	nanU|nanU_497957_bv	75.9	486	497	486	97.8	99.8	1.1e-220	768.1	CDIpos	SemiBin_49	Phocaeicola vulgatus
CDIpos_DASTool_bins_SemiBin_49|k141_150351_30	SIAE|SIAE_19013_uniprot	98.9	357	504	360	70.8	99.2	1.6e-208	727.6	CDIpos	SemiBin_49	Phocaeicola vulgatus
CDIpos_DASTool_bins_SemiBin_49|k141_29107_1	nanU|nanU_311719_bv	55.9	494	492	489	99.8	99.6	2.4e-156	554.3	CDIpos	SemiBin_49	Phocaeicola vulgatus
CDIpos_DASTool_bins_SemiBin_49|k141_154464_2	nanU|nanU_194521_bv	99.8	517	518	517	99.8	100.0	3.6e-312	1072.0	CDIpos	SemiBin_49	Phocaeicola vulgatus
control_DASTool_bins_bin.32|k141_241035_65	nanK|nanK_40_bv	59.1	318	319	318	99.4	99.4	1.4e-104	381.7	control	bin.32	Eubacterium_R sp000434995
control_DASTool_bins_bin.32|k141_263878_144	nagB|nagB_40150_bv	100.0	241	242	241	99.6	100.0	2.3e-136	486.9	control	bin.32	Eubacterium_R sp000434995
control_DASTool_bins_SemiBin_185|k141_40475_51	nanU|nanU_236219_bv	99.8	506	507	531	99.8	95.3	5.3e-300	1031.6	control	SemiBin_185	Parabacteroides distasonis
control_DASTool_bins_SemiBin_185|k141_97862_2	nanU|nanU_500862_bv	41.0	522	527	529	96.4	96.8	1.4e-96	355.9	control	SemiBin_185	Parabacteroides distasonis
control_DASTool_bins_SemiBin_185|k141_174884_44	nanU|nanU_645800_bv	99.6	531	532	534	99.8	99.4	0.0e+00	1076.6	control	SemiBin_185	Parabacteroides distasonis
control_DASTool_bins_SemiBin_185|k141_256763_83	nanU|nanU_481889_bv	100.0	548	549	549	99.8	99.8	0.0e+00	1110.1	control	SemiBin_185	Parabacteroides distasonis
control_DASTool_bins_SemiBin_113|k141_253097_2	nanH|nanH_4619_bv	99.8	433	552	433	78.4	100.0	1.7e-262	907.1	control	SemiBin_113	Phocaeicola massiliensis
control_DASTool_bins_bin.115|k141_62204_8	nanU|nanU_563802_bv	96.4	525	526	525	99.8	100.0	0.0e+00	1077.8	control	bin.115	Bacteroides uniformis
control_DASTool_bins_bin.115|k141_252953_20	nanU|nanU_142022_bv	42.8	491	498	484	97.8	98.6	2.3e-101	371.7	control	bin.115	Bacteroides uniformis
diarrheaCDIneg_DASTool_bins_bin.6|k141_36190_27	nanU|nanU_93146_bv	98.9	571	594	571	96.1	100.0	0.0e+00	1191.0	diarrheaCDIneg	bin.6	Phocaeicola dorei
diarrheaCDIneg_DASTool_bins_bin.6|k141_49656_30	nanK|nanK_7216_bv	41.7	309	324	311	94.4	96.5	5.3e-59	230.3	diarrheaCDIneg	bin.6	Phocaeicola dorei
diarrheaCDIneg_DASTool_bins_bin.6|k141_11493_115	SIAE|SIAE_20500_uniprot	99.6	259	260	259	99.6	100.0	2.5e-144	513.5	diarrheaCDIneg	bin.6	Phocaeicola dorei
diarrheaCDIneg_DASTool_bins_SemiBin_28|k141_47025_16	nanK|nanK_30939_bv	98.3	234	295	234	79.3	100.0	9.5e-132	471.9	diarrheaCDIneg	SemiBin_28	Enterococcus_B faecium
diarrheaCDIneg_DASTool_bins_SemiBin_28|k141_13021_6	nagA|nagA_88277_bv	100.0	382	383	382	99.7	100.0	4.3e-225	782.3	diarrheaCDIneg	SemiBin_28	Enterococcus_B faecium
diarrheaCDIneg_DASTool_bins_SemiBin_28|k141_9293_37	nanK|nanK_1618_bv	40.0	315	321	309	97.5	98.4	9.3e-48	193.0	diarrheaCDIneg	SemiBin_28	Enterococcus_B faecium
diarrheaCDIneg_DASTool_bins_SemiBin_28|k141_17672_4	satD|WP_069102428.1	50.0	234	297	274	77.8	85.0	7.5e-60	233.0	diarrheaCDIneg	SemiBin_28	Enterococcus_B faecium
diarrheaCDIneg_DASTool_bins_SemiBin_28|k141_1019_22	nanE|nanE_26011_bv	100.0	227	228	243	99.6	93.4	2.0e-121	437.2	diarrheaCDIneg	SemiBin_28	Enterococcus_B faecium
diarrheaCDIneg_DASTool_bins_SemiBin_28|k141_47611_45	nagB|nagB_190441_bv	100.0	233	234	254	99.6	91.7	3.9e-128	459.5	diarrheaCDIneg	SemiBin_28	Enterococcus_B faecium
diarrheaCDIneg_DASTool_bins_SemiBin_28|k141_31145_32	siaT|siaT_43096_uniprot	100.0	431	432	431	99.8	100.0	2.3e-219	763.5	diarrheaCDIneg	SemiBin_28	Enterococcus_B faecium
diarrheaCDIneg_DASTool_bins_SemiBin_28|k141_31145_33	siaQ|siaQ_327815_bv	54.5	154	160	162	95.6	93.8	3.1e-36	153.7	diarrheaCDIneg	SemiBin_28	Enterococcus_B faecium
diarrheaCDIneg_DASTool_bins_SemiBin_28|k141_13845_30	satD|WP_227924124.1	44.6	258	315	271	81.9	94.8	3.2e-61	237.7	diarrheaCDIneg	SemiBin_28	Enterococcus_B faecium
diarrheaCDIneg_DASTool_bins_SemiBin_28|k141_14110_4	kpsM|kpsM_209_bv	42.5	266	269	277	96.3	96.0	4.4e-59	230.3	diarrheaCDIneg	SemiBin_28	Enterococcus_B faecium
diarrheaCDIneg_DASTool_bins_SemiBin_28|k141_57669_6	satD|MBW4095910.1	45.1	257	318	266	79.2	95.9	2.0e-58	228.4	diarrheaCDIneg	SemiBin_28	Enterococcus_B faecium
diarrheaCDIneg_DASTool_bins_SemiBin_28|k141_36726_5	satD|WP_436072170.1	40.5	262	358	275	70.7	95.3	5.1e-39	164.1	diarrheaCDIneg	SemiBin_28	Enterococcus_B faecium
diarrheaCDIneg_DASTool_bins_bin.5|k141_63869_68	nanU|nanU_45837_bv	73.6	550	551	550	99.8	100.0	8.2e-246	851.7	diarrheaCDIneg	bin.5	Parabacteroides distasonis
diarrheaCDIneg_DASTool_bins_bin.5|k141_21854_99	nanU|nanU_378182_bv	46.0	548	549	540	97.1	99.6	5.0e-126	453.8	diarrheaCDIneg	bin.5	Parabacteroides distasonis
diarrheaCDIneg_DASTool_bins_bin.5|k141_31166_27	SIAE|SIAE_7801_bv	100.0	691	692	691	99.9	100.0	0.0e+00	1442.9	diarrheaCDIneg	bin.5	Parabacteroides distasonis
diarrheaCDIneg_DASTool_bins_bin.5|k141_66635_7	nanU|nanU_44722_bv	99.4	516	531	516	97.2	100.0	3.9e-301	1035.4	diarrheaCDIneg	bin.5	Parabacteroides distasonis
diarrheaCDIneg_DASTool_bins_bin.5|k141_19919_80	nagA|nagA_6792_bv	100.0	401	402	401	99.8	100.0	7.9e-230	798.1	diarrheaCDIneg	bin.5	Parabacteroides distasonis
diarrheaCDIneg_DASTool_bins_bin.5|k141_15269_162	nanU|nanU_291680_bv	42.8	493	495	488	99.0	98.2	1.1e-116	422.5	diarrheaCDIneg	bin.5	Parabacteroides distasonis
diarrheaCDIneg_DASTool_bins_SemiBin_30|k141_63679_28	kpsD|kpsD_12805_bv	100.0	558	559	559	99.8	99.8	0.0e+00	1082.8	diarrheaCDIneg	SemiBin_30	Escherichia coli
diarrheaCDIneg_DASTool_bins_SemiBin_30|k141_8905_25	nanM|nanM_464_bv	100.0	368	369	368	99.7	100.0	3.2e-217	756.1	diarrheaCDIneg	SemiBin_30	Escherichia coli
diarrheaCDIneg_DASTool_bins_SemiBin_30|k141_8905_26	SIAE|SIAE_26843_refseq	100.0	326	327	326	99.7	100.0	6.2e-201	701.8	diarrheaCDIneg	SemiBin_30	Escherichia coli
diarrheaCDIneg_DASTool_bins_SemiBin_30|k141_64401_5	nanK|nanK_4989_bv	100.0	291	292	302	99.7	96.4	1.3e-157	557.8	diarrheaCDIneg	SemiBin_30	Escherichia coli
diarrheaCDIneg_DASTool_bins_SemiBin_30|k141_64401_9	nanR|nanR_50_bv	93.5	263	264	263	99.6	100.0	5.3e-126	452.6	diarrheaCDIneg	SemiBin_30	Escherichia coli
diarrheaCDIneg_DASTool_bins_SemiBin_30|k141_22559_32	satD|WP_419102340.1	46.1	267	335	290	79.7	90.7	1.1e-59	232.6	diarrheaCDIneg	SemiBin_30	Escherichia coli
diarrheaCDIneg_DASTool_bins_SemiBin_70|k141_34635_42	siaM|siaM_10307_bv	100.0	436	439	436	99.3	100.0	1.7e-233	810.4	diarrheaCDIneg	SemiBin_70	Pyramidobacter piscolens
diarrheaCDIneg_DASTool_bins_SemiBin_70|k141_55664_40	satB|MBO2532523.1	40.3	313	307	313	98.7	99.7	9.5e-50	199.5	diarrheaCDIneg	SemiBin_70	Pyramidobacter piscolens
diarrheaCDIneg_DASTool_bins_SemiBin_70|k141_44310_13	satD|WP_125610213.1	45.6	261	326	272	79.8	94.5	4.7e-55	217.2	diarrheaCDIneg	SemiBin_70	Pyramidobacter piscolens
diarrheaCDIneg_DASTool_bins_SemiBin_70|k141_14054_1	satB|WP_263079827.1	57.0	309	310	308	99.7	100.0	7.5e-95	349.4	diarrheaCDIneg	SemiBin_70	Pyramidobacter piscolens
diarrheaCDIneg_DASTool_bins_SemiBin_70|k141_14054_106	satB|MCS6825930.1	40.2	311	325	314	95.7	97.1	3.2e-56	221.1	diarrheaCDIneg	SemiBin_70	Pyramidobacter piscolens
diarrheaCDIneg_DASTool_bins_SemiBin_70|k141_63269_74	siaT|siaT_47535_uniprot	52.0	425	429	428	98.1	99.3	7.1e-104	379.8	diarrheaCDIneg	SemiBin_70	Pyramidobacter piscolens
diarrheaCDIneg_DASTool_bins_SemiBin_60|k141_4317_10	satB|MFN4189717.1	43.8	304	307	305	99.0	99.3	6.5e-67	256.5	diarrheaCDIneg	SemiBin_60	Enterocloster bolteae
diarrheaCDIneg_DASTool_bins_SemiBin_60|k141_4759_301	siaM|siaM_78429_bv	100.0	423	424	423	99.8	100.0	1.6e-220	767.3	diarrheaCDIneg	SemiBin_60	Enterocloster bolteae
diarrheaCDIneg_DASTool_bins_SemiBin_60|k141_1011_369	siaM|siaM_60605_bv	100.0	435	436	435	99.8	100.0	7.3e-213	741.9	diarrheaCDIneg	SemiBin_60	Enterocloster bolteae
diarrheaCDIneg_DASTool_bins_SemiBin_60|k141_1011_641	siaM|siaM_403770_bv	100.0	433	434	433	99.8	100.0	8.8e-227	788.1	diarrheaCDIneg	SemiBin_60	Enterocloster bolteae
diarrheaCDIneg_DASTool_bins_SemiBin_60|k141_20223_153	nanR|nanR_1411_uniprot	43.8	479	483	484	98.8	98.8	6.6e-114	413.3	diarrheaCDIneg	SemiBin_60	Enterocloster bolteae
