MAG_protein	Sialic_hit	Identity	Alignment_length	Query_length	Subject_length	Query_cov	Subject_cov	Evalue	Bitscore	Condition	Bin	Taxonomy
CDIpos_DASTool_bins_bin.2|k141_90233_11	satD|WP_022922052.1	47.9	257	309	276	79.3	92.8	2.5e-58	228.0	CDIpos	bin.2	Escherichia coli
CDIpos_DASTool_bins_bin.2|k141_90233_23	ompF|ompF_42_uniprot	98.4	366	367	366	99.7	100.0	2.8e-210	733.0	CDIpos	bin.2	Escherichia coli
CDIpos_DASTool_bins_bin.2|k141_140806_6	satD|WP_249736668.1	40.2	229	251	269	89.2	82.5	2.5e-32	141.4	CDIpos	bin.2	Escherichia coli
CDIpos_DASTool_bins_bin.2|k141_140806_51	ompF|ompF_6607_bv	100.0	371	372	381	99.7	97.4	3.2e-217	756.1	CDIpos	bin.2	Escherichia coli
CDIpos_DASTool_bins_bin.2|k141_121178_10	ompF|ompF_307_bv	68.1	392	378	386	99.7	100.0	1.9e-145	517.7	CDIpos	bin.2	Escherichia coli
CDIpos_DASTool_bins_bin.2|k141_33883_86	ompF|ompF_6268_bv	65.9	361	352	360	99.7	100.0	3.8e-135	483.4	CDIpos	bin.2	Escherichia coli
CDIpos_DASTool_bins_bin.2|k141_24274_14	ompF|ompF_60602_refseq	97.8	368	365	368	99.7	100.0	8.2e-210	731.5	CDIpos	bin.2	Escherichia coli
CDIpos_DASTool_bins_bin.2|k141_14827_2	nanK|nanK_707_uniprot	55.3	349	398	362	87.2	96.4	1.7e-107	391.7	CDIpos	bin.2	Escherichia coli
CDIpos_DASTool_bins_bin.2|k141_44186_3	satB|MFN4189717.1	40.8	336	340	305	98.8	99.3	5.0e-68	260.4	CDIpos	bin.2	Escherichia coli
CDIpos_DASTool_bins_bin.2|k141_44186_6	satD|WP_207616619.1	45.1	268	335	271	80.0	98.9	3.7e-63	244.2	CDIpos	bin.2	Escherichia coli
CDIpos_DASTool_bins_bin.2|k141_76266_10	satD|WP_121660542.1	40.2	219	229	264	89.5	81.1	4.6e-25	117.1	CDIpos	bin.2	Escherichia coli
CDIpos_DASTool_bins_bin.2|k141_38616_5	nagA|nagA_54888_bv	100.0	382	383	402	99.7	95.0	1.4e-220	767.3	CDIpos	bin.2	Escherichia coli
CDIpos_DASTool_bins_bin.2|k141_38616_6	nagB|nagB_80253_bv	84.2	297	267	297	99.6	100.0	3.8e-140	499.6	CDIpos	bin.2	Escherichia coli
CDIpos_DASTool_bins_bin.3|k141_50534_82	satD|WP_271417843.1	43.4	267	352	274	75.9	87.6	1.2e-56	222.6	CDIpos	bin.3	Ruthenibacterium lactatiformans
CDIpos_DASTool_bins_bin.3|k141_83501_2	nagA|nagA_15549_bv	100.0	390	391	390	99.7	100.0	4.1e-231	802.4	CDIpos	bin.3	Ruthenibacterium lactatiformans
CDIpos_DASTool_bins_bin.3|k141_114315_121	SIAE|SIAE_12166_uniprot	100.0	470	471	533	99.8	88.2	2.7e-290	999.2	CDIpos	bin.3	Ruthenibacterium lactatiformans
CDIpos_DASTool_bins_bin.3|k141_85540_76	nanK|nanK_10126_bv	100.0	277	278	302	99.6	91.7	4.4e-155	549.3	CDIpos	bin.3	Ruthenibacterium lactatiformans
CDIpos_DASTool_bins_bin.71|k141_136117_3	nanU|nanU_305779_bv	60.5	598	600	593	99.7	100.0	1.4e-214	748.0	CDIpos	bin.71	Parabacteroides distasonis
CDIpos_DASTool_bins_bin.71|k141_77887_3	nanU|nanU_183841_bv	100.0	503	504	516	99.8	97.5	6.7e-295	1014.6	CDIpos	bin.71	Parabacteroides distasonis
CDIpos_DASTool_bins_bin.71|k141_49118_8	siaM|siaM_130527_bv	100.0	432	433	433	99.8	99.8	1.5e-218	760.8	CDIpos	bin.71	Parabacteroides distasonis
CDIpos_DASTool_bins_bin.71|k141_78823_12	nanU|nanU_291680_bv	42.6	493	495	488	99.0	98.2	1.2e-115	419.1	CDIpos	bin.71	Parabacteroides distasonis
CDIpos_DASTool_bins_bin.71|k141_108462_2	nanH|nanH_9455_bv	45.5	413	420	421	97.6	96.9	1.8e-112	408.3	CDIpos	bin.71	Parabacteroides distasonis
CDIpos_DASTool_bins_bin.71|k141_137867_4	nagB|nagB_173245_bv	49.6	236	241	241	97.9	97.9	6.5e-62	239.6	CDIpos	bin.71	Parabacteroides distasonis
CDIpos_DASTool_bins_bin.71|k141_41686_4	nanU|nanU_79795_bv	60.7	535	536	532	99.6	99.4	1.8e-181	637.9	CDIpos	bin.71	Parabacteroides distasonis
CDIpos_DASTool_bins_bin.71|k141_33955_6	nanU|nanU_302044_bv	46.5	568	555	565	99.6	98.4	3.9e-126	454.1	CDIpos	bin.71	Parabacteroides distasonis
CDIpos_DASTool_bins_bin.71|k141_92792_5	nanQ|nanQ_634_uniprot	100.0	149	150	149	99.3	100.0	3.2e-83	309.7	CDIpos	bin.71	Parabacteroides distasonis
CDIpos_DASTool_bins_bin.71|k141_142106_3	nanU|nanU_191178_bv	99.1	531	536	533	99.1	99.6	3.2e-311	1068.9	CDIpos	bin.71	Parabacteroides distasonis
CDIpos_DASTool_bins_bin.71|k141_75032_1	nanH|nanH_15173_bv	99.7	394	541	394	72.8	100.0	4.9e-235	815.8	CDIpos	bin.71	Parabacteroides distasonis
CDIpos_DASTool_bins_bin.71|k141_134177_14	nanU|nanU_563729_bv	97.8	505	507	505	99.6	100.0	6.5e-298	1024.6	CDIpos	bin.71	Parabacteroides distasonis
CDIpos_DASTool_bins_bin.71|k141_27995_10	SIAE|SIAE_9715_bv	100.0	473	474	473	99.8	100.0	6.8e-289	994.6	CDIpos	bin.71	Parabacteroides distasonis
CDIpos_DASTool_bins_bin.92|k141_82458_15	nagA|nagA_128853_bv	100.0	379	380	380	99.7	99.7	3.6e-224	779.2	CDIpos	bin.92	Faecalibacterium longum
CDIpos_DASTool_bins_SemiBin_10|k141_99019_11	siaM|siaM_6793_bv	100.0	431	432	431	99.8	100.0	1.8e-211	737.3	CDIpos	SemiBin_10	Enterocloster aldenensis
CDIpos_DASTool_bins_SemiBin_10|k141_83629_8	siaM|siaM_8195_bv	100.0	426	427	426	99.8	100.0	1.4e-224	780.8	CDIpos	SemiBin_10	Enterocloster aldenensis
CDIpos_DASTool_bins_SemiBin_10|k141_64558_9	nanR|nanR_1411_uniprot	49.7	479	480	484	99.6	98.6	2.5e-121	438.0	CDIpos	SemiBin_10	Enterocloster aldenensis
CDIpos_DASTool_bins_SemiBin_48_sub|k141_10564_10	satB|HUX88249.1	42.1	318	320	314	98.8	99.7	3.0e-62	241.1	CDIpos	SemiBin_48_sub	Enterocloster bolteae
CDIpos_DASTool_bins_SemiBin_48_sub|k141_40852_5	satD|WP_311358684.1	48.7	238	323	275	73.7	85.5	1.3e-57	225.7	CDIpos	SemiBin_48_sub	Enterocloster bolteae
CDIpos_DASTool_bins_SemiBin_48_sub|k141_103713_15	siaQ|siaQ_11754_bv	100.0	165	166	165	99.4	100.0	7.6e-86	318.5	CDIpos	SemiBin_48_sub	Enterocloster bolteae
CDIpos_DASTool_bins_SemiBin_130_sub|k141_9863_29	nanU|nanU_313707_bv	54.3	540	553	545	97.5	98.5	2.9e-166	587.4	CDIpos	SemiBin_130_sub	Alistipes onderdonkii
CDIpos_DASTool_bins_SemiBin_130_sub|k141_69662_11	nanU|nanU_156911_bv	65.0	509	504	509	99.2	100.0	4.3e-193	676.4	CDIpos	SemiBin_130_sub	Alistipes onderdonkii
CDIpos_DASTool_bins_SemiBin_130_sub|k141_60217_42	SIAE|SIAE_11657_bv	100.0	469	470	470	99.8	99.8	1.3e-287	990.3	CDIpos	SemiBin_130_sub	Alistipes onderdonkii
CDIpos_DASTool_bins_SemiBin_130_sub|k141_148527_13	nanK|nanK_7216_bv	43.5	324	335	311	96.1	96.8	2.5e-59	231.5	CDIpos	SemiBin_130_sub	Alistipes onderdonkii
CDIpos_DASTool_bins_SemiBin_130_sub|k141_71900_2	nanU|nanU_168364_bv	41.9	570	554	536	99.8	99.6	2.0e-111	405.2	CDIpos	SemiBin_130_sub	Alistipes onderdonkii
CDIpos_DASTool_bins_SemiBin_130_sub|k141_71900_11	nanU|nanU_459495_bv	45.4	540	537	523	99.8	100.0	6.4e-126	453.4	CDIpos	SemiBin_130_sub	Alistipes onderdonkii
control_DASTool_bins_SemiBin_137_sub|k141_65562_4	nanU|nanU_574553_bv	51.1	536	540	514	99.3	99.4	1.2e-153	545.4	control	SemiBin_137_sub	Bacteroides fragilis
control_DASTool_bins_bin.32|k141_241035_65	nanK|nanK_40_bv	59.1	318	319	318	99.4	99.4	1.4e-104	381.7	control	bin.32	Eubacterium_R sp000434995
control_DASTool_bins_bin.32|k141_263878_144	nagB|nagB_40150_bv	100.0	241	242	241	99.6	100.0	2.3e-136	486.9	control	bin.32	Eubacterium_R sp000434995
control_DASTool_bins_SemiBin_22|k141_212806_15	siaM|siaM_19737_bv	100.0	429	430	429	99.8	100.0	1.6e-225	783.9	control	SemiBin_22	Otoolea fessa
diarrheaCDIneg_DASTool_bins_bin.6|k141_36190_27	nanU|nanU_93146_bv	98.9	571	594	571	96.1	100.0	0.0e+00	1191.0	diarrheaCDIneg	bin.6	Phocaeicola dorei
diarrheaCDIneg_DASTool_bins_SemiBin_28|k141_47025_16	nanK|nanK_30939_bv	98.3	234	295	234	79.3	100.0	9.5e-132	471.9	diarrheaCDIneg	SemiBin_28	Enterococcus_B faecium
diarrheaCDIneg_DASTool_bins_SemiBin_28|k141_1019_22	nanE|nanE_26011_bv	100.0	227	228	243	99.6	93.4	2.0e-121	437.2	diarrheaCDIneg	SemiBin_28	Enterococcus_B faecium
diarrheaCDIneg_DASTool_bins_bin.5|k141_63869_68	nanU|nanU_45837_bv	73.6	550	551	550	99.8	100.0	8.2e-246	851.7	diarrheaCDIneg	bin.5	Parabacteroides distasonis
diarrheaCDIneg_DASTool_bins_bin.5|k141_66635_7	nanU|nanU_44722_bv	99.4	516	531	516	97.2	100.0	3.9e-301	1035.4	diarrheaCDIneg	bin.5	Parabacteroides distasonis
diarrheaCDIneg_DASTool_bins_bin.5|k141_19919_86	nanU|nanU_410087_bv	98.7	466	505	466	92.3	100.0	3.2e-273	942.6	diarrheaCDIneg	bin.5	Parabacteroides distasonis
diarrheaCDIneg_DASTool_bins_bin.5|k141_15269_162	nanU|nanU_291680_bv	42.8	493	495	488	99.0	98.2	1.1e-116	422.5	diarrheaCDIneg	bin.5	Parabacteroides distasonis
diarrheaCDIneg_DASTool_bins_SemiBin_60|k141_20223_153	nanR|nanR_1411_uniprot	43.8	479	483	484	98.8	98.8	6.6e-114	413.3	diarrheaCDIneg	SemiBin_60	Enterocloster bolteae
